ID,text,target
ynat-v1_dev_00000,한화 두산 꺾고 3천661일 만의 단독 2위…SK는 6연패,1
ynat-v1_dev_00001,부산 7일 만에 시원한 비…폭염경보→주의보,0
ynat-v1_dev_00002,미군 리비아에서 IS 겨냥한 공습으로 11명 사살,6
ynat-v1_dev_00003,해양경찰청 헬기 18대 중 절반 야간 운항 불가능,3
ynat-v1_dev_00004,더빙하는 도종환 장관,0
ynat-v1_dev_00005,미중 무역전쟁서 미국 피해 더 커…CNBC 평가,6
ynat-v1_dev_00006,평양서 새해 불꽃놀이 열려…예고보다 21시간 늦어,2
ynat-v1_dev_00007,뉴스에서 대주주 아파트 광고 G1에 경고,5
ynat-v1_dev_00008,신도시 짓고 유휴부지 쓰고…수도권 30만가구 2021년부터 분양종합,5
ynat-v1_dev_00009,광주·전남 4∼6월 강수량 평년대비 44%,0
ynat-v1_dev_00010,정부 완전자급제 정책수립 착수…내년까지 자급제폰 2배↑,5
ynat-v1_dev_00011,이노션 작년 4분기 영업익 356억원…9.5%↑,5
ynat-v1_dev_00012,멀티캠퍼스 주당 500원 현금배당 결정,5
ynat-v1_dev_00013,산천어 낚시에 푹∼ 빠진 어린이 강태공,0
ynat-v1_dev_00014,美 견제받는 화웨이 경쟁력 강화 위해 최고 인재 영입,6
ynat-v1_dev_00015,문대통령 순방중 北 비핵화 협상중단 시사 내용 보고받아,2
ynat-v1_dev_00016,청주·제천서 일가족 등 6명 코로나19 확진…고3 수험생 포함종합,3
ynat-v1_dev_00017,올해는 부상 없이 20승까지…류현진 미국 출국,1
ynat-v1_dev_00018,문 대통령 박정훈 SBS 사장과 인사,2
ynat-v1_dev_00019,대한제분 작년 영업익 362억원…18.1%↓,5
ynat-v1_dev_00020,사용 안 해도 환불 불가…모바일게임 리니지M 아이템 피해주의보,4
ynat-v1_dev_00021,여자배구 드림팀 5일 태국과 대결…1승 1패 한국 이...,1
ynat-v1_dev_00022,올해 출판계 키워드 1위에 소확행,0
ynat-v1_dev_00023,인공지능은 고깃국 양념일 뿐…SW산업 탄탄해야 의미있어,4
ynat-v1_dev_00024,지자체대학 협력 충청권 간담회,3
ynat-v1_dev_00025,카카오 AI 부문 사내 독립기업으로 개편…B2B 본격 진출,4
ynat-v1_dev_00026,롯데홈쇼핑 국가품질경영대회서 산업부 장관 표창,5
ynat-v1_dev_00027,차량공유도 스마트하게 SKT 쏘카에 IoT전용망 적용,4
ynat-v1_dev_00028,이란 혁명수비대 중동 파견 美항모 위협 아닌 타격목표,6
ynat-v1_dev_00029,평창 바가지 올림픽 역풍…숙박업소 대규모 공실 우려,3
ynat-v1_dev_00030,시스코 한국 5G·IoT 사업자 겨냥한 솔루션 공개,4
ynat-v1_dev_00031,北 금연연구보급기지 설립…금연운동 본격화하나,2
ynat-v1_dev_00032,박수치는 2019 세계기자대회 참석자들,3
ynat-v1_dev_00033,FOMC 앞둔 국고채 금리 줄줄이 연저점…3년물 연 1.783%,5
ynat-v1_dev_00034,한화투자증권 작년 연결 영업익 646억원…흑자전환,5
ynat-v1_dev_00035,한국 인공지능AI 특허 경쟁력 확보 서둘러야,4
ynat-v1_dev_00036,명왕성에 빙하 생긴 건 지형의 영향,0
ynat-v1_dev_00037,김태년 최저임금 인상 가계소득 개선으로 이어지게 대책 마련,2
ynat-v1_dev_00038,이대은·이학주 등 복귀파 득세…10일 드래프트는 두번째 기회,1
ynat-v1_dev_00039,절대 1강 전북 AFC 챔스리그 3연승 도전…이동국...,1
ynat-v1_dev_00040,춘천시 외국 관광객 꾸준히 증가…중국 관광객은 급감,3
ynat-v1_dev_00041,국방위 北핵실험 사전포착 실패 한 목소리로 질타,2
ynat-v1_dev_00042,화천군 내년 산천어축제 체류관광객 유치 주력,0
ynat-v1_dev_00043,1900년 5월 개기일식 담은 활동사진 복원 공개,0
ynat-v1_dev_00044,네이버 밴드 1시간 넘게 접속 장애…단순 기술 오류,4
