ID,text,target
ynat-v1_dev_00020,사용 안 해도 환불 불가…모바일게임 리니지M 아이템 피해주의보,4
ynat-v1_dev_00023,인공지능은 고깃국 양념일 뿐…SW산업 탄탄해야 의미있어,4
ynat-v1_dev_00025,카카오 AI 부문 사내 독립기업으로 개편…B2B 본격 진출,4
ynat-v1_dev_00027,차량공유도 스마트하게 SKT 쏘카에 IoT전용망 적용,4
ynat-v1_dev_00030,시스코 한국 5G·IoT 사업자 겨냥한 솔루션 공개,4
ynat-v1_dev_00035,한국 인공지능AI 특허 경쟁력 확보 서둘러야,4
ynat-v1_dev_00044,네이버 밴드 1시간 넘게 접속 장애…단순 기술 오류,4
ynat-v1_dev_00046,다른 길로 접어든 삼성·LG폰…혁신의 의미를 묻다,4
ynat-v1_dev_00047,SK텔레콤 전국 54개 직영점서 실버세대 스마트폰 교육,4
ynat-v1_dev_00064,RD사업 끝나도 연구비로 시설 보수…과기부 통합관리제 마련,4
ynat-v1_dev_00087,게시판 카카오페이지 어벤져스 신작 개봉 사전 행사,4
ynat-v1_dev_00092,해외서 동행끼리 데이터 나눠쓰세요 KT 로밍 요금제 출시,4
ynat-v1_dev_00094,LG 야심작 G6 오늘 출시…프리미엄폰 大戰 개막,4
ynat-v1_dev_00096,삼성전자 갤럭시S8 개통 기한 또 연장…재고 부족,4
ynat-v1_dev_00103,더 강력한 온열 암치료 방법 찾았다,4
ynat-v1_dev_00109,황금색 갤럭시S8도 나오나…6가지 색상 출시 관측,4
ynat-v1_dev_00111,뇌 등 중추신경계 없는 열대 해파리도 밤에 수면,4
ynat-v1_dev_00117,네이버·라인 글로벌 해커톤 AI 러시 2019 개최,4
ynat-v1_dev_00131,VR이 온다 가상현실 어디까지 왔나,4
ynat-v1_dev_00143,KT 기가인터넷 가입자 120만 돌파…기념 판촉행사,4
ynat-v1_dev_00166,카카오 퍼블리싱 게임 구글 마켓서 검색 안 돼 논란,4
ynat-v1_dev_00177,LG워치 스포츠·스타일 내일 출시…최신 안드로이드 탑재,4
ynat-v1_dev_00180,LGU U골프에서 일반인도 해설위원과 함께 중계 참여하세요,4
ynat-v1_dev_00189,서울 성수동 소셜벤처 허브로 육성한다,4
ynat-v1_dev_00229,한이스라엘 과기공동위…양자통신칩·작물개발에 협력,4
ynat-v1_dev_00237,KT스마트로 LTEM 기반 속도 빠른 신용카드 결제기 출시,4
ynat-v1_dev_00241,페이스북 특정 언어 사용자만 보는 광고 첫선,4
ynat-v1_dev_00250,소니 바닷물 방수되는 블루투스 이어폰 출시,4
ynat-v1_dev_00252,증강현실 속 캐릭터 움직임 내 맘대로 실시간 조작기술 개발,4
ynat-v1_dev_00276,삼성전자 이탈리아서 갤럭시 A9 공개,4
ynat-v1_dev_00286,5G 시대 화려한 개막…이통3사 세계 첫 5G 상용전파 송출,4
ynat-v1_dev_00288,그래픽 삼성애플 특허분쟁 합의,4
ynat-v1_dev_00293,카카오게임즈 아이돌 육성 게임 앙상블 스타즈 출시,4
ynat-v1_dev_00297,고등어 속 오메가3 유방암 세포 억제한다,4
ynat-v1_dev_00308,게시판 LG유플러스 멤버십 고객 할인 이벤트,4
ynat-v1_dev_00313,삼성·LG 트리플 카메라 장착 중저가폰 잇달아 출시,4
ynat-v1_dev_00325,세기의 대국 알파고 확률 계산서 실패했다,4
ynat-v1_dev_00327,삼성전자 28GHz 대역 지원 5G 통합형 기지국 상용 개발,4
ynat-v1_dev_00339,게시판 LGU 스타필드 하남·고양에서 U5G·Utv 체험존,4
ynat-v1_dev_00344,한화시스템 英안테나 사업 인수…우주 인터넷 기술 확보,4
ynat-v1_dev_00347,화재위험 없는 ESS 바나듐 레독스 흐름전지용 전해질막 개발,4
ynat-v1_dev_00359,LGU 동네 상권 활성화 위한 우리동네 멤버십 출시,4
ynat-v1_dev_00369,2018 ICT 결산 ①차세대 이동통신 5G 선도…세계 첫 상용화,4
ynat-v1_dev_00377,삼성 갤럭시 폴드 출시 연기…갤노트7 사태 재연 우려했나,4
ynat-v1_dev_00389,전기차배터리·바이오에탄올…정부 기후변화 대응 기술 개발,4
ynat-v1_dev_00394,없던 일로 끝난 윈도 헐값 직구 소동…MS 전량 구매취소,4
ynat-v1_dev_00397,화웨이 세계점유율 두달 연속 애플 제쳤다…1위는 삼성,4
ynat-v1_dev_00400,SK텔레콤 갤럭시 와이드2 출시,4
ynat-v1_dev_00412,갤럭시 S9·S9 디즈니와 손잡고 AR 이모지 선보여,4
ynat-v1_dev_00419,한국형 인공태양 실험 결과 미국 슈퍼컴퓨터로 본다,4
ynat-v1_dev_00428,세계 최초 5G 체험버스 서울 도심 달린다,4
ynat-v1_dev_00432,르노삼성자동차 QM3 비비드 매니아 이벤트 진행,4
ynat-v1_dev_00437,SKT 다음 달 5G 100만 가입자 예상…카운트다운 이벤트,4
ynat-v1_dev_00453,차세대 디스플레이·웨어러블 소자 핵심소재 개발,4
