ID,text,target,cleaned_target
ynat-v1_train_00000,"KT, 2개월 이용 기간 파격 할인",4,5
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,0,6
ynat-v1_train_00007,"아가메즈 33득점 폭발, 우리카드 KB손해보험 완파…3위 굳건히 지켜",4,1
ynat-v1_train_00011,NH투자 1월 옵션 만기일 매도 우세,1,5
ynat-v1_train_00015,"KISA 박민정 책임연구원, APTLD 이사 선출",0,3
ynat-v1_train_00019,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,2,4
ynat-v1_train_00024,서울에 다시 오존주의보…도심·서북·동북권 발령종합,1,0
ynat-v1_train_00033,석면 규정 지켜야,3,0
ynat-v1_train_00034,안보리 대북결의안 2270호 이행보고서 제출한 나라 70개 육박,4,6
ynat-v1_train_00038,마틴 우리카드 코치로 V리그 복귀…한국 좋아요,5,1
ynat-v1_train_00039,LG G8 씽큐 15일부터 예판…디스플레이 1회 무상교체 혜택,2,4
ynat-v1_train_00043,한국민족의 뿌리가 북방…5천년 전 한반도서 자생적으로 형성,0,6
ynat-v1_train_00045,"특별 제안 흔들, 사표 낼 수도",3,2
ynat-v1_train_00048,"김정은, 트럼프와 만남 후 속내를 밝히다",1,2
ynat-v1_train_00049,"인공지능, 진보인가?",3,4
ynat-v1_train_00050,"미국 MBA, 여성 비율 계속 증가",6,3
ynat-v1_train_00052,한국에서 얼마나 벌 수 있을까?,4,0
ynat-v1_train_00056,유엔 리비아 내전 악화·국제적 확산 우려…아랍연맹 긴급회의종합,4,6
ynat-v1_train_00058,한미 치료제 개발 본격화,6,5
ynat-v1_train_00063,영상 선출부터 퇴장까지…나경원 원내대표 파란만장 1년,5,2
ynat-v1_train_00065,"3부, 국제사회 일원!",2,0
ynat-v1_train_00066,"레알 vs 아틀레티코, 챔피언스리그 4강에서 마드리드 더비 성사",0,1
ynat-v1_train_00067,"콩나물 값, 지하철 요금 따라 오른다",6,5
ynat-v1_train_00070,모바일 컴퓨팅 미래는…서울서 국제학회 ACM 모비시스 개막,3,4
ynat-v1_train_00071,영상 냄새가 나는데…퇴근길 마주친 수상한 차 따라가봤더니,2,0
ynat-v1_train_00072,獨 反이스라엘 테러 팔레스타인인 강연 차단…비자도 취소,3,6
ynat-v1_train_00077,"법정, 내 처리 요구",5,2
ynat-v1_train_00078,"대구·경북 고용유지지원금 신청 폭주: 2~3월 7,550건",5,3
ynat-v1_train_00079,"애스턴마틴, 국내 500대 한정 생산",0,5
ynat-v1_train_00085,네이버 모바일 연예판에도 AI 콘텐츠 추천 시스템 적용,5,4
ynat-v1_train_00086,"의료서비스 이용, 사전 예약 필수",6,0
ynat-v1_train_00087,수능 6모 성적표 공개,0,4
ynat-v1_train_00088,증시신상품 국채선물 인버스 ETF 3종,6,5
ynat-v1_train_00091,온누리 한방의 힘을 느껴보세요! 천연 한방 D20,3,0
ynat-v1_train_00095,흥국운용 2천350억원 중순위 인수금융펀드 1호 결성 완료,0,5
ynat-v1_train_00099,北 무수단 발사 대기권 재진입 기술 확보 여부가 관건,1,4
ynat-v1_train_00102,코스피 미국발 악재에 또 급락…2360대로 털썩,0,5
ynat-v1_train_00109,"원전대면 점, 2p 인도 무산",5,6
ynat-v1_train_00117,어촌으로 봄 여행 떠나볼까…해수부 체험 마을 20곳 추천,2,3
ynat-v1_train_00119,게시판 인터넷신문위원회 언론분쟁 대처 교육,1,3
ynat-v1_train_00134,"코오롱플라스틱, 1분기 영업익 138%↑ 58억원 기록",6,5
ynat-v1_train_00137,2017 올해의연극 베스트3 오른 옥상 밭 고추는 왜 재공연,4,0
ynat-v1_train_00142,"朴대통령, TK 의원들과 사드 민심 청취",0,2
ynat-v1_train_00143,지소미아 종료까지 8일…美 압박 속 고민 깊어지는 文대통령,4,2
ynat-v1_train_00144,호텔서 스타 셰프 음식 만난다…더플라자 레스토랑 4곳 오픈,4,0
ynat-v1_train_00148,시리보다 내가 낫다…빅스비의 세로드립 도발종합,2,5
ynat-v1_train_00150,11월 소비자 지갑을 열어라…유통업계 할인 경쟁 격화,6,5
ynat-v1_train_00153,힐만 감독 산체스 15∼16일 불펜에서 대기,6,1
ynat-v1_train_00156,GS칼텍스 IBK기업은행과 세터 이나연↔이고은 트레이드,5,1
ynat-v1_train_00164,日도쿄 주택가 공원 연못서 토막시신 발견,4,6
ynat-v1_train_00165,홍콩 시위 참여 여성 경찰서에서 알몸 수색 강요당해,1,6
ynat-v1_train_00168,"여행 AI, 새로운 시대를 열다",0,4
ynat-v1_train_00171,美이란 상대 국적자 체포 갈등…구금 중 학대 서로 비방,5,6
ynat-v1_train_00173,홍남기 미래부 1차관 서울혁신센터 등 방문,0,4
ynat-v1_train_00176,北발사체에 미일 당국자 통화…한미일 협력 확인,0,2
ynat-v1_train_00183,탈북민 착한봉사단 연천서 통일염원 벽화 그린다,1,3
ynat-v1_train_00186,KB증권 농심 4분기 라면 부문 실적개선…목표주가↑,6,5
ynat-v1_train_00189,400년 전 일본 건너간 조선 첫 여성도공 백파선,1,0
ynat-v1_train_00190,등수 앞으로,3,1
ynat-v1_train_00195,웨이포트 6월 22일 상장폐지 신청 예정,6,5
ynat-v1_train_00197,남$정w회l .c 준비가 생명W남북_리허설 또 리허설,2,0
ynat-v1_train_00199,"현대차증권, MMT 300억원 매수",2,4
ynat-v1_train_00204,"유저 집 명패, 누가 가져갔을까?",3,0
ynat-v1_train_00205,특징주 ;면분할 F성전자v귀환S첫날X약세,5,0
ynat-v1_train_00208,새누리 갈등 폭발한 상임 전국위·전국위는 어떤 기구,5,2
ynat-v1_train_00212,장애인 정책 발표하는 안철수,6,0
ynat-v1_train_00214,문학적 양식 풍부했던 '문학 행,3,0
ynat-v1_train_00220,삼성 2분기 세계 스마트폰 점유율 1위 지켰다…중국 맹추격,1,4
ynat-v1_train_00223,카카오미니 예판 38분 만에 마감…접속 몰려 에러 속출,6,4
ynat-v1_train_00224,민주 누리과정예산 확보 대신 법인세 양보 모색,1,3
ynat-v1_train_00226,"후랭코프 5승, 두산 20승 선두 질주…SK·LG 추격",2,1
ynat-v1_train_00227,청년 디지털 일자리 등 3차 추경 사업 민간 채용률 겨우 11%,4,3
ynat-v1_train_00230,류현진 FA 랭킹 7위…막판 부진으로 온갖 의문 낳아,6,1
ynat-v1_train_00232,충북 가마솥더위 지속…주말도 더워요,2,0
ynat-v1_train_00234,억만장자 베니 스타인메츠 阿 광산 뇌물 혐의로 기소돼,1,6
ynat-v1_train_00237,출마하면 투표해 주세요!,6,0
ynat-v1_train_00240,벼락같은 중거리포로 러시아 가는 길 열어젖힌 이창민종합,3,1
ynat-v1_train_00242,배구 남녀 대표팀 임도헌라바리니 감독 보령서 짧은 상견례,3,1
ynat-v1_train_00244,"전기차, 사상 최초로 양산 성공",6,4
ynat-v1_train_00251,삼성·애플·LG·구글 스마트폰 가을대전 임박,0,4
ynat-v1_train_00252,트럼프 드론 격추에 對이란 보복공격 승인했다 돌연 철회종합2보,5,6
ynat-v1_train_00254,네이버 인공지능으로 식당 예약 전화 받는 AI 콜 공개,1,4
ynat-v1_train_00259,KT 인공지능 기술로 목소리 찾아드려요…목소리 찾기 프로젝트,3,4
ynat-v1_train_00262,국립민속박물관 아카이브 만들기 특별전 개최,6,0
ynat-v1_train_00264,"대우조선해양, LNG 운반선 2척 수주 (4,199억원)",3,5
ynat-v1_train_00270,신년사 손학규 다당제·합의제로 희망 드리는 정치 실천,1,2
ynat-v1_train_00271,노벨평화상 소식에 아프리카 환호…각국 정상 환영 잇따라,0,6
ynat-v1_train_00272,野가 전한 설 민심…정권교체 해달라 자만말라 쓴소리도,3,2
