ID,text,target
gemini-00000,"미국, 인플레이션 억제 위한 추가 금리 인상 단행",6
gemini-00001,"중국, 코로나19 봉쇄 완화 후 경제 회복세 가속화",6
gemini-00002,"브라질, 아마존 열대우림 보호 위한 국제 협력 강화",6
gemini-00003,"한국, 첨단 기술 개발에 100조원 투자 계획 발표",6
gemini-00004,"러시아, 우크라이나 침공 1년 만에 국제 사회 규탄 강화",6
gemini-00005,"프랑스, 에너지 위기 극복 위한 원자력 발전소 건설 재개",6
gemini-00006,"영국, 탈퇴 후 EU와의 무역 협상 난항",6
gemini-00007,"인도, 우주 개발 프로그램 가속화…달 탐사 계획 발표",6
gemini-00008,"호주, 기후 변화 대응 위한 탄소 배출 감축 목표 강화",6
gemini-00009,"캐나다, 북미 자유무역협정(NAFTA) 재협상 추진",6
gemini-00010,"美, 중국 반도체 장비 수출 규제 강화…첨단 기술 경쟁 심화",6
gemini-00011,"한국, 2023년 경제성장률 1.5% 전망…내수 부진 지속",6
gemini-00012,"英, 2024년부터 플라스틱 포장재 사용 금지…환경 보호 강화",6
gemini-00013,"인도네시아, 대규모 지진 발생…쓰나미 경고 발령",6
gemini-00014,"프랑스, 파리 테러 용의자 검거…테러 위협 지속",6
gemini-00015,"아마존, 2023년 1분기 실적 발표…매출 감소",6
gemini-00016,"유럽연합, 러시아 에너지 의존도 줄이기 위한 긴급회의 개최",6
gemini-00017,"세계보건기구, 새로운 변종 바이러스 출현 경고…전 세계 비상",6
gemini-00018,"한국, 우주 발사체 누리호 3차 발사 성공…우주 강국 도약",6
gemini-00019,"미국, 중국과의 무역 협상 재개…관세 부과는 유지",6
gemini-00020,"서울시, 폭염 대비 '쿨맵' 무료 배포… 시민들 호응",6
gemini-00021,"""챗GPT, 학교 과제 표절 논란"" 교육계, 윤리적 딜레마 고민",6
gemini-00022,"한국, 'K팝' 열풍 타고 세계 관광객 유치 본격화",6
gemini-00023,"'고령화 사회' 일본, 노인 돌봄 로봇 개발 박차",6
gemini-00024,"'오징어 게임' 신드롬 이후, 한국 드라마 해외 시장 진출 가속화",6
gemini-00025,"'기후변화' 심각성 경고… 유럽, 극심한 폭염과 홍수 피해",6
gemini-00026,'메타버스' 시대 도래… 게임·쇼핑 등 다양한 분야 활용 확대,6
gemini-00027,'우주여행 시대' 개막… 민간 우주여행 사업 활발,6
gemini-00028,'인공지능' 발전 속도 가속화… 일자리 변화와 윤리적 문제 대두,6
gemini-00029,"엘살바도르, 비트코인 채택 후 경제난 심화…국민 불만 폭발",6
gemini-00030,"美, 러시아 해킹 의혹 제기하며 새로운 경제 제재 발표",6
gemini-00031,"K팝 아이돌 그룹, 앨범 발매 후 음원 차트 1위 석권",4
gemini-00032,"한국, 코로나19 백신 접종률 90% 돌파…일상 회복 기대감 고조",6
gemini-00033,"프랑스, 극심한 폭염으로 산불 발생…피해 확산 우려",6
gemini-00034,"싱가포르, 세계 최초로 자율주행 택시 운영 시작…미래 교통 시대 개막",6
gemini-00035,"영국, 새로운 변이 바이러스 확산…방역 강화 조치 시행",6
gemini-00036,"중국, 우주 정거장 건설 완료…우주 개발 경쟁 본격화",6
gemini-00037,"미국, 대규모 총기 사건 발생…사회적 논란 재점화",6
gemini-00038,서울 강남구 고급 아파트서 화재 발생,6
gemini-00039,인천공항서 탑승객 난동… 항공기 운항 지연,6
gemini-00040,"美, 러시아 핵무기 개발 움직임에 경계 강화…대응 방안 모색",6
gemini-00041,"인도네시아, 대규모 화산 폭발 발생…주변 지역에 피해 우려",6
gemini-00042,"브라질, 아마존 열대 우림 대규모 화재…환경 파괴 우려",6
gemini-00043,"캐나다, 기후 변화로 인한 극심한 폭염…산불 발생 위험 증가",6
gemini-00044,"호주, 대규모 산불로 인한 피해 심각…복구 작업 진행 중",6
gemini-00045,"'챗GPT' 개발사 오픈AI, 새로운 인공지능 모델 공개",6
gemini-00046,국제 유가 급등… 러시아-우크라이나 전쟁 장기화 우려,6
gemini-00047,서울 강남 대형 건설 현장서 크레인 붕괴…인명피해 발생,6
gemini-00048,"한국, 2024년 우주탐사선 발사…달 착륙 목표",6
gemini-00049,"핀란드, 북극곰 개체수 감소 심각…기후변화 영향 우려",6
gemini-00050,"일본, 노인 인구 증가 심각…사회 시스템 변화 필요",6
gemini-00051,"美 연방준비제도, 금리 인상 폭 유지…경제 불확실성 지속",6
gemini-00052,"인도네시아, 규제 강화로 암호화폐 거래소 폐쇄",6
gemini-00053,"英, 폭염으로 인한 산불 피해 확산…주민 대피령 발령",6
gemini-00054,"스페인, 역사적인 폭우로 홍수 피해 속출…피해 복구 작업 한창",6
gemini-00055,"프랑스, 노동 개혁 법안 통과…대규모 시위 예상",6
gemini-00056,"한국, 챗GPT 활용 교육 시범 운영… 교육 현장 변화 예고",6
gemini-00057,"서울 강남, 고층 건물 화재 발생… 소방대 진화 작업 한창",6
gemini-00058,"러시아, 우크라이나 동부 지역 공세 강화…국제사회 우려",6
gemini-00059,"아마존, 배송 로봇 도입 확대…물류 자동화 경쟁 가속화",6
gemini-00060,"영국, 난민 수용 문제로 정치적 갈등 심화…여론 뜨겁게 달아올라",6
gemini-00061,"스페인, 극우 정당 부상…정치 지형 변화 예고",6
gemini-00062,"러시아, 우크라이나 곡물 수출 협상 재개…국제사회 긴장 완화 기대",6
gemini-00063,"김씨 일가, '코인 사기' 의혹 제기…검찰 수사 착수",6
gemini-00064,"서울 강남, 고급 아파트값 하락세…전문가 ""거품 꺼지는 신호?"" 분석",6
gemini-00065,"전 세계 기온 상승, 폭염·가뭄 심화…기후 변화 대응 시급",6
gemini-00066,"서울 강남, 밤 10시 이후 배달 음식 주문량 급증…심야 배달 시장 활성화",6
gemini-00067,"인공지능, 의료 분야 진출 가속화…진단 정확도 향상 기대",6
gemini-00068,"극심한 가뭄, 농업 생산량 감소…식량 가격 상승 우려",6
gemini-00069,"챗GPT, 인공지능 기술 발전의 상징…새로운 시대 도래",6
gemini-00070,"尹 대통령, 국제사회에 우크라이나 지원 강화…“평화 정착 위해 노력할 것”",6
gemini-00071,"英, 새로운 인공지능 개발 규제 도입…윤리적 문제 해결 노력",6
gemini-00072,"서울시, 도시 재생 사업 확대…주민 참여형 개발 추진",6
gemini-00073,"중국, 코로나19 확산 우려 속 국제선 항공편 운항 재개",6
gemini-00074,"한국, 2023년 노벨상 수상자 발표…과학 분야 석학들의 활약 눈길",6
gemini-00075,"인도, 극심한 폭염으로 100명 사망…기온 50도 넘어",6
gemini-00076,"일본, 후쿠시마 원전 오염수 방류 결정…주변국들의 반발 거세",6
gemini-00077,"이탈리아, 총선 결과 불확실…정치 불안정 심화 우려",6
gemini-00078,"프랑스, 대규모 파업 돌입…연금 개혁 반대 목소리 높아",6
gemini-00079,"영국, 폭염 속 극심한 물 부족…대규모 단수 우려",6
gemini-00080,"런던 증시, 급락세 지속…브렉시트 불확실성 심화",6
gemini-00081,"美 연준, 금리 동결…경제 성장 둔화 우려",6
gemini-00082,"中, 코로나19 확산 방지 위해 국경 봉쇄 강화",6
gemini-00083,런던 시내서 대규모 반정부 시위 발생…경찰과 충돌,6
gemini-00084,"프랑스, 코로나19 확산세 지속…봉쇄 조치 강화 검토",6
