ID,text,target
ynat-v1_train_00001,"K찰, DLwo 회장 20억 송금",3
ynat-v1_train_00021," KIA, 팬들에게 감사 인사 전해",1
ynat-v1_train_00026," STJ레콤, 2분기 영업이익 4,105억원…21% 증가",5
ynat-v1_train_00028, 감독 2호 축구 연맹 회부,1
ynat-v1_train_00029,"인천, 35℃ 폭염 속 축구 경기 펼쳐져",1
ynat-v1_train_00037,"  인공광 생산, 기존 방식보다 효율적",4
ynat-v1_train_00045," 특별 제안 흔들, 사표 낼 수도",3
ynat-v1_train_00046,5명 꺾고 은행 직원 4명 체포,1
ynat-v1_train_00048,"김정은, 트럼프와 만남 후 속내를 밝히다",1
ynat-v1_train_00049," 인공지능, 진보인가?",3
ynat-v1_train_00050,"미국 MBA, 여성 비율 계속 증가",6
ynat-v1_train_00065,"3부, 국제사회 일원!",2
ynat-v1_train_00067,"콩나물 값, 지하철 요금 따라 오른다",6
ynat-v1_train_00077,"법정, 내 처리 요구",5
ynat-v1_train_00082,"추신수, 경기 종료 후 타율 0.21 기록",1
ynat-v1_train_00087, 수능 6모 성적표 공개,0
ynat-v1_train_00098,"  외국어 지원, 이제는 필수",4
ynat-v1_train_00113, 신간 Z끗 출간,0
ynat-v1_train_00120," 朴령, 북한 균열 조짐… 동요 가능성",2
ynat-v1_train_00123," 157km 조우, 선동 논란",1
ynat-v1_train_00128,"수도권 확진자 급증, 7일 학교 당국 각별 주의 당부",3
ynat-v1_train_00130, 아이폰 4 이벤트,4
ynat-v1_train_00135, 대화점 팝업 트랩 진출,0
ynat-v1_train_00141,"알림톡 무단 발송, 카카오톡 이용자 피해 우려",4
ynat-v1_train_00158,"최고위원 중 9명, 교안 논란",2
ynat-v1_train_00159, 중국 지방 민원 투쟁 실태,6
ynat-v1_train_00163,서울 일강,0
ynat-v1_train_00168,"여행 AI, 새로운 시대를 열다",0
ynat-v1_train_00174,"이란, 중동서 강력한 지진 발생",6
ynat-v1_train_00179,"한국, 일본 연극 교류 활발",0
ynat-v1_train_00190,등수 앞으로,3
ynat-v1_train_00192," SPT 뚝 떨어져, I6으로 출발",0
ynat-v1_train_00196," 뮌헨, UCL 8강 진출 확정",1
ynat-v1_train_00200,갤럭시 S3부터 환불 가능,4
ynat-v1_train_00209,"  몽니, N/w 두 선두 기업과 함께 프로젝트 동참",2
ynat-v1_train_00210,"인천 진군, 오전에 시작",0
ynat-v1_train_00214, 문학적 양식 풍부했던 '문학 행',3
ynat-v1_train_00221,"  경기 지역, 오늘 밤 대설 주의보",0
ynat-v1_train_00228," 미사, AI 상용화 돌입",4
ynat-v1_train_00233,  화이트 아이폰 예약,4
ynat-v1_train_00244,"전기차, 사상 최초로 양산 성공",6
ynat-v1_train_00245,"MLB 명장 바비 콕스, 은퇴",1
ynat-v1_train_00247,코아 V 페그 출시,4
ynat-v1_train_00261," 혁신과 발전, M박 작용",2
ynat-v1_train_00268, Y-57E 리콜 결정,4
ynat-v1_train_00278," AI, 2천억원 투자 유치",4
ynat-v1_train_00291,"코드 컴바인, 스닥 총 3억 달러 규모로 성장",5
ynat-v1_train_00307," 북구 취업 계약, X 나왔다",3
ynat-v1_train_00323, 김어준 뉴스 공장 청취,3
ynat-v1_train_00327,3일 의원들과 회의,2
ynat-v1_train_00348,2차 배당 문 다시 발표,6
ynat-v1_train_00354,면1B 이상 장6가,5
ynat-v1_train_00356,"조코위, 김정은 만남 성사?",3
ynat-v1_train_00358, 랜딩 페이지 2돌리면 대응 맞춰야,6
ynat-v1_train_00364,"김범호, 6번 타석 상대 투수 견제",1
ynat-v1_train_00368," 삼성전자, 1분기 순항 예상",5
ynat-v1_train_00369,"N&v엔터, H대와 제휴",4
ynat-v1_train_00376,"YG, 상용 음원 서비스 최초 진출",4
ynat-v1_train_00386, 엔지니어링 기업 부문 경쟁 심화,3
ynat-v1_train_00394, 군 순찰 강화,6
ynat-v1_train_00405," 현업 노하우, AB 테스트로 방구석 기업 견인",3
ynat-v1_train_00436,"김주성, F동 로드맨과 가포 경기 펼쳐",1
ynat-v1_train_00440," 0타점 1K씩… MJB, W 사스 연승",1
ynat-v1_train_00441," H양, 언론인상 수상",3
ynat-v1_train_00454," 독일 아우토반, 도로 공사로 인해 부분 통제",6
ynat-v1_train_00490,"뉴펀들랜드 대학, 중국 본토 학생 시위",6
ynat-v1_train_00500,계곡서 군인 실종,0
ynat-v1_train_00509,"박지성, 맨유에서 은퇴",1
ynat-v1_train_00525," 朴 대통령, 북경고·中압박 종합",2
ynat-v1_train_00541," 국문협, 안순·육박 예상",0
ynat-v1_train_00546," 석유 가격, 0~8달러 폭락",6
ynat-v1_train_00548," 중국, 사드 언급하며 한국에 압박",6
ynat-v1_train_00557,"한국, 천안2호 발사 성공",4
ynat-v1_train_00563," 르담 붕괴 위기, 프랑스 당국 긴급 보강",6
ynat-v1_train_00570, 고래가 바다를 지배하다,0
ynat-v1_train_00581," 북쪽, 영하 14도… 평년 기온 밑돌아",0
ynat-v1_train_00591," 시진핑, 서민 생활 행보 이어가",6
ynat-v1_train_00592,"엔씨소프트, 업계 최고 기술력으로 연결",4
ynat-v1_train_00611,"강원도 전교조, 8개 시군 교육감과 갈등",3
ynat-v1_train_00612,"삼성, 긍정 평가 유지",4
ynat-v1_train_00642," 한강서 30대 실종, 경찰 수색 중",0
ynat-v1_train_00659,"갤럭시 S9, 매장서 649만원에 판매",4
ynat-v1_train_00672,스피드違反 검거,3
ynat-v1_train_00674,"넷플릭스 유튜브 11인, 2회 연속 호평",4
ynat-v1_train_00675," P2P 거래, 새로운 혁신의 물결",1
ynat-v1_train_00685," 25명 탑승 버스, 럭키와 충돌… 1명 중상",6
ynat-v1_train_00694,주말 야외 나들이 전 계획 세우세요,0
ynat-v1_train_00714," IBF증권, 업종 최고 주가",5
ynat-v1_train_00715,YTN 기자 천명으로 늘려,3
ynat-v1_train_00721," 朴대통령, 입장문 발표 후 5차례 기자회견",2
ynat-v1_train_00729," 32L 중국인, 39명 사망 영향",3
ynat-v1_train_00732," 김욱, 경남에 첫 승 안겨",1
ynat-v1_train_00740," 짱기, 누구에게 영상 공개?",4
ynat-v1_train_00743," 아나운서, 성희롱 논란 해소!",3
ynat-v1_train_00757,"박스피에 길, 5큐a_ 새 길 개척",4
ynat-v1_train_00761,"미국, 이란 제재 직전 마지막 감사 교환",6
ynat-v1_train_00768,"고속도로 사고, 차량 파손",3
ynat-v1_train_00783,"  북미 애니메이션 시장, 치열한 경쟁 펼쳐",6
ynat-v1_train_00784," 넷플릭스, 새로운 오리지널 드라마 공개",0
ynat-v1_train_00787,"  공항 터미널, 성추행 사건 발생",3
ynat-v1_train_00806,"36일째 건강 악화, 병원 입원",3
ynat-v1_train_00812," B튜브, 생상품 거래 플랫폼 'l.yN.frWH' 출시",5
ynat-v1_train_00813,"링컨시, 격파",1
ynat-v1_train_00816, 스피커 전환,5
ynat-v1_train_00820,"청와대, 법폐지 청원에 연대 문의",3
ynat-v1_train_00821,"  19H 위기, 대타협 나올까… 수령 종합",3
ynat-v1_train_00826,"우리 2플, 신태실 전 앞으로",1
ynat-v1_train_00829," 네이버 앱, 구글 플레이 스토어 2위 차지",4
ynat-v1_train_00830,"8개국 경제 복판, 日에도 영향",6
ynat-v1_train_00838," 3주 만에 2배 성장, 놀라운 수준",5
ynat-v1_train_00851," 정대영 대 박은진, 아시아 대결 펼친다",1
ynat-v1_train_00860,"애플, KT서 2루타 3루타 연속! 대박",5
ynat-v1_train_00867,"KF 온라인 서비스, Z세대 이용자 증가 추세",4
ynat-v1_train_00893,현대 미술 트렌드,0
ynat-v1_train_00896," KTE, 급격한 매출 증가",0
ynat-v1_train_00898," 잭슨, 0순위로 승격",1
ynat-v1_train_00900," 북한 산, 갈라진 땅",2
ynat-v1_train_00903,"김주찬, 58패 타이틀로 삼성에 승리",1
ynat-v1_train_00909,"MLB 감독, 뉴A 메%I감독으로 교체",1
ynat-v1_train_00924,북한 핵실험 추정,2
