ID,text,target
ynat-v1_train_00000,"KT, 2개월 이용 기간 파격 할인",4
ynat-v1_train_00010,"모하비 열차 사고, 주가 급락",5
ynat-v1_train_00014,민관2동 7사위 X보 철거,2
ynat-v1_train_00022,"현차, 임원 6명 늘려",3
ynat-v1_train_00025,"선 폭, 현장 조사 중",3
ynat-v1_train_00027,"생체인증 도입되면, 대기 줄은 끝",4
ynat-v1_train_00032,"박항서 감독, 베트남 축구 대표팀 이끌다",1
ynat-v1_train_00052,한국에서 얼마나 벌 수 있을까?,4
ynat-v1_train_00054,"LG V40, 5개 카메라로 촬영의 즐거움 선사",4
ynat-v1_train_00059,"아사드, 외교 협상 없다고",6
ynat-v1_train_00064,"유럽연합, M3 교환 합의",5
ynat-v1_train_00069,D1v 울트라 활성화: 고용 안정성 확보,2
ynat-v1_train_00075,"H6호, 금조달에 52P 신고",5
ynat-v1_train_00083,"유영준, 왕웨이와 조심스러운 관계 유지해야",1
ynat-v1_train_00084,"한국사이버, 2분기 영업익 감소",5
ynat-v1_train_00086,"의료서비스 이용, 사전 예약 필수",6
ynat-v1_train_00091,온누리 한방의 힘을 느껴보세요! 천연 한방 D20,3
ynat-v1_train_00094,멀티골로 축구 승리,1
ynat-v1_train_00110,"공장, 광합성으로 개발? 혁신적인 기술 등장",4
ynat-v1_train_00129,2019년 제1회 외국인 투자 정책 협의회 개최,5
ynat-v1_train_00146,"친박 원내대표, 홍문종 의원 종합",2
ynat-v1_train_00147,"도자기 작품, 관람객 열광",0
ynat-v1_train_00152,"김정은, 시찰 중",2
ynat-v1_train_00155,"수협, 공공주택 8억원 지원",5
ynat-v1_train_00170,S달 영입…4년 7340만 달러,1
ynat-v1_train_00178,"한화S&C, 동반성장 협약식 개최",5
ynat-v1_train_00180,"LG, 타사 고객 대상 갤럭시 S8 프로모션 진행",4
ynat-v1_train_00181,"인터넷 신기술, 미래 먹거리 잡는다",4
ynat-v1_train_00204,"유저 집 명패, 누가 가져갔을까?",3
ynat-v1_train_00206,"이탈리아 친환경 시설, 격렬한 논쟁 속에 건설",6
ynat-v1_train_00215,"전시 인기, 시민들 발길 이어져",0
ynat-v1_train_00216,"美, 한국에 사주한 듯",6
ynat-v1_train_00217,"A형 남자, 혈액형으로 장기 기증 가능",1
ynat-v1_train_00237,출마하면 투표해 주세요!,6
ynat-v1_train_00239,"SKT, 비전 & 사업 종합 보고 발표",5
ynat-v1_train_00256,핑크퐁 TV 앱 출시,4
ynat-v1_train_00264,"대우조선해양, LNG 운반선 2척 수주 (4,199억원)",3
ynat-v1_train_00287,7화재 대제,0
ynat-v1_train_00296,전국구 원만 선언,2
ynat-v1_train_00305,"빛, 경기 초미세먼지 주의보 발령",0
ynat-v1_train_00324,"프로젝트 해체 위기, 선한 영향력으로 승부",1
ynat-v1_train_00325,"픽셀 택틱스, 현실화율 3세대 산업",5
ynat-v1_train_00341,"융커, 8국 질서 낙관적이지 않아",6
ynat-v1_train_00378,"핵 규탄, 국회의원 70만 명 서명 촉구",2
ynat-v1_train_00379,"한국 정부, 캐나다 정책 의혹 제기",6
ynat-v1_train_00381,결정은 수용한다,2
ynat-v1_train_00401,"남북 화해 제안, 종합 뉴스",2
ynat-v1_train_00446,"개인투자자, 소액 투자 가능해지나?",5
ynat-v1_train_00447,"세종시 여성, 재취업·창업 지원 강화",3
ynat-v1_train_00449,"증시, 뉴욕서 하락",5
ynat-v1_train_00458,전 가족과 함께 비행기를 탔다,0
ynat-v1_train_00461,"경북, 1대1 정책 추진",3
ynat-v1_train_00471,"중소기업, KT 폼 공개",4
ynat-v1_train_00476,예비 분양 완료,5
ynat-v1_train_00479,4년 만에 전서에서 만날까,1
ynat-v1_train_00480,국회의원 당선 확대로 경쟁 심화,2
ynat-v1_train_00482,노벨상 시상식 개막,6
ynat-v1_train_00484,"폴록 3점포, 다저스 6연승 이끈다",1
ynat-v1_train_00494,"대형서점, 판사들과 손잡다",0
ynat-v1_train_00495,"아스널, 20년 만에 리그 우승 좌절",1
ynat-v1_train_00511,"미래에셋대우, 신한금융투자 실적 발표 후 배당금 68원 예상",5
ynat-v1_train_00512,"국회사무처, 美 츠 대학교와 MOU 체결",2
ynat-v1_train_00516,편입생 모집 진행,3
ynat-v1_train_00520,"콘텐츠 제한, 통신업계 위기",4
ynat-v1_train_00523,"LG G6, 갤럭시 S8 제치고 영상 1위",5
ynat-v1_train_00524,리그 아시아 15패 수모…4별리그 탈출,1
ynat-v1_train_00532,"D국, 일본 총리 만나 위협 주장",6
ynat-v1_train_00551,"한미훈련, 5개국 협력 강화",2
ynat-v1_train_00554,"홍남표 차관, 안전관리 강조",2
ynat-v1_train_00556,"아프리카TV, 엔터테인먼트 시장 공략",4
ynat-v1_train_00559,"G20 정상회담, 8개국 원에 모였다",2
ynat-v1_train_00565,"AI 기반 질병 개발, 드디어 실험 단계 진입",4
ynat-v1_train_00567,"코로나, 달러 강세에 선물 시장 혼조",5
ynat-v1_train_00571,신간 \,0
ynat-v1_train_00579,"영국, 렉시콘 논란에 독일과 입장 달라",6
ynat-v1_train_00586,"원/달러 환율, 소폭 반등",5
ynat-v1_train_00593,김부권 전 여 이달 안 결정…단독,2
ynat-v1_train_00614,"프로농구 샐러리캡, 4억 원 상승",1
ynat-v1_train_00622,"시안게임 체육 한국 선수단, 금메달 획득",1
ynat-v1_train_00625,"손흥민, 토트넘 챔피언스리그서 레알 마드리드 상대",1
ynat-v1_train_00628,"바르셀로나, 빌바오와의 경기 예고",1
ynat-v1_train_00633,B2 출판 경영 마케팅 클래스,3
ynat-v1_train_00639,"중국, 사이버 안보 논의에 적극 참여",6
ynat-v1_train_00646,스템반도체 설비 투자 확대,4
ynat-v1_train_00664,"현대모비스, 경영 강화 위한 주식 매입",5
ynat-v1_train_00665,"33교전, 클린 목표 리 크 행동은 안",6
ynat-v1_train_00670,"BJ 반, 사우디 공격에 대한 대응 제안",6
ynat-v1_train_00671,"오늘 개교, 등교 시작",3
ynat-v1_train_00690,자사주 소각 긍정적 신호,5
ynat-v1_train_00696,"처음부터 나눠, 택배 내부 전달",3
ynat-v1_train_00700,세계에서 가장 많이 팔리는 스마트폰은?,5
ynat-v1_train_00706,"전몰자 추모, 9월에 열려",1
ynat-v1_train_00707,3주년 경찰의 날 기념식,3
ynat-v1_train_00717,"기중기, 세계 최고 용량으로",0
ynat-v1_train_00719,"윤호영, 수술비 650만원 지원 받아",1
ynat-v1_train_00722,1억 5천만원 현금 걸린 제보,6
ynat-v1_train_00724,1금융권 차기 CEO 최종 후보 7명으로 압축,5
ynat-v1_train_00726,"노트7, 이미 50만대 판매… 리콜 어떻게 하나?",4
ynat-v1_train_00730,"자치구, R형 아트 3D 모델로 추월",5
ynat-v1_train_00742,16억 달러 규모의 제조 장비 계약 체결,5
ynat-v1_train_00747,"E 국장, 2T 대표, 평화 길에 뜻 모아",2
ynat-v1_train_00749,"류현진, 마틴과 호흡 맞춰 51.7구 던져",1
ynat-v1_train_00751,"배구팀 전임 감독, 팀 력 향상 목표 밝혀",1
ynat-v1_train_00752,"5G와 올림픽, 세계를 향해 나아가다",4
ynat-v1_train_00755,"야구, LGU+에서 더 생생하게 즐기세요!",1
ynat-v1_train_00765,"갤럭시 S9, Q급 전용 패키지 5천원 한정 판매",4
ynat-v1_train_00766,LG 폰 중 최고는? n20,4
ynat-v1_train_00767,"밤의 배경, 최대 9배 증가",3
ynat-v1_train_00781,"PC, 윈도우 점유율 최초 1위",4
ynat-v1_train_00785,"지난달 아파트 분양 3,268채, 7개월 연속 감소",5
ynat-v1_train_00789,"중부지방 장마 끝, 폭염 시작",0
ynat-v1_train_00796,"스리랑카, 말라리아 확산 우려",6
ynat-v1_train_00797,"한국, 독도 수호 의지를 재확인",2
ynat-v1_train_00804,"유엔 블랙리스트, 북한 대사 첫 등재",2
ynat-v1_train_00807,"카자흐스탄 대통령, 담화 발표",6
ynat-v1_train_00808,"러시아, 미사일 발사 중단",6
ynat-v1_train_00809,"농축 우라늄 저장고, 핵 발전소 인근 발견",6
ynat-v1_train_00814,"경기 X 권역 8개 B, Q 존주 활성화",0
ynat-v1_train_00825,"북협력기금, 2016년 대비 855억 증가",5
ynat-v1_train_00840,클래식 선율로 물드는 13번째 앨범,0
ynat-v1_train_00844,내일 영하 1도,0
ynat-v1_train_00852,"서울 옥션, 블록체인 기술 도입",0
ynat-v1_train_00858,"한국MS, 윈도우 10 IoT 에디션 출시하며 B2B 시장 공략",5
ynat-v1_train_00873,청바항 짙은 안개 속 항공기 운항,0
ynat-v1_train_00874,한국기자협회 창립 15주년,3
ynat-v1_train_00875,S고 W고 기장 비 세운,4
ynat-v1_train_00879,"세계 산업 모임, 한국에서 개최",4
ynat-v1_train_00883,"T맵, 택시 앱 1위 굳히기",4
ynat-v1_train_00887,주당 1천원 배당 결정,5
ynat-v1_train_00888,"간편결제 1위, 삼성페이 2U",5
ynat-v1_train_00891,"도시, 국제 종이 수상 제출",3
ynat-v1_train_00892,한국SDC 대구사회복지모금회에 5억 기부,3
ynat-v1_train_00923,"전국 천여 마을, 인터넷망 구축",4
ynat-v1_train_00929,"OV은행, 신용대출 금리 3.2%p 인하",5
ynat-v1_train_00930,"추수 3경기 연속 무안타, 타율 .277",1
ynat-v1_train_00931,"문 대령, 지도부와 만나 국방부 소통 강화",2
ynat-v1_train_00966,朴 대통령 조선족 역할해야…창업? 국가 기대,2
ynat-v1_train_00967,제5회 문학상 수상자 발표: 셔플,0
ynat-v1_train_00968,"켈리 vs 용찬, 두산-SSG 선발 맞대결",1
ynat-v1_train_00974,"인공지능 화재, 가정에서 발생",3
ynat-v1_train_00979,좋아하는 작품,0
ynat-v1_train_00988,"문재인 대통령, 힘을 합쳐야 종합",2
ynat-v1_train_00998,"이스라엘 야권 연대, 총선 승리 가능성 높아",6
ynat-v1_train_01001,"24라 멋진 만연산 숲길, 행복 가득",0
