ID,text,target
ynat-v1_train_00002,김정은은 자주 통일을 향한 새로운 조치를 취해야 합니다.,2
ynat-v1_train_00003,"갤럭시노트8, 주말 동안 27만대 판매...시장, 불법 보조금 난무",5
ynat-v1_train_00004,미국 대선을 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00005,미국 성인 6명 중 1명은 배우자 또는 연인에게 빚을 진 경험이 있습니다.,3
ynat-v1_train_00006,KBO 롯데-KIA 광주 경기 취소,1
ynat-v1_train_00007,"아가메즈 33득점 폭발, 우리카드가 KB손해보험을 꺾고 3위 유지",1
ynat-v1_train_00008,朴대통령 얼마나 많이 놀라셨어요...경주 지진현장 방문종합,6
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시 루머... 저렴한 휴대폰에 대한 기대,4
ynat-v1_train_00011,"NH 인베스트먼트 1월 옵션 만기, 매도자 우세",5
ynat-v1_train_00012,총리는 각 부처에 비상 사태에 철저히 대비할 것을 촉구합니다.,2
ynat-v1_train_00015,"KISA 박민정 센터장, APTLD 이사회에 선출되다",3
ynat-v1_train_00016,계약업체 협박으로 분쟁 해결을 위해 돈을 받은 기자에게 집행유예 선고,3
ynat-v1_train_00017,월세에서 자가 전환으로 주거비 부담 증가... 지난해 사상 최고치 기록,5
ynat-v1_train_00018,전 작가,0
ynat-v1_train_00019,"페이스북의 인터넷 드론 아퀼라, 처녀 시험 비행에 성공하다",2
ynat-v1_train_00020,"추신수, 시즌 타율 .265로 마감...최지만만 19홈런 달성",1
ynat-v1_train_00023,"박항서, 아시안게임 목소리 높여, 베트남이 일본을 이길 수 없다...",6
ynat-v1_train_00024,서울에 오존주의보 또 발령...도심-서부-북부-동북부 총 '나쁨',1
ynat-v1_train_00030,해외 로밍 m골드폭탄 n차단이 더 빨라졌습니다.,4
ynat-v1_train_00031,"세계무역협회, 올해 1,550명의 무역사 졸업생 배출",3
ynat-v1_train_00033,석면 규정 준수,3
ynat-v1_train_00034,약 70개국이 UNSCR 2270에 대한 이행 보고서를 제출했습니다.,6
ynat-v1_train_00035,게시판 KBS 코로나로 바뀐 일상 영상 공모전,0
ynat-v1_train_00036,크루즈 관광객을 위한 반나절 부산 해안 트레킹 상품 개발,3
ynat-v1_train_00038,마틴 우리카드가 감독으로 V-리그로 돌아온다... 한국이 좋아한다,5
ynat-v1_train_00039,15일간 LG G8 씽큐 사전예약...디스플레이 1회 무료 교체 혜택 제공,4
ynat-v1_train_00040,"후쿠시마 원자력 발전소 은폐와 기만, 노출된 노동자들의 증언",6
ynat-v1_train_00041,"다저스, 포수 최형우와 계약!",1
ynat-v1_train_00042,WEF 연차 총회에서 논의될 창조 경제,2
ynat-v1_train_00043,"한민족의 뿌리는 5,000년 전 한반도에서 북쪽에서 시작되었습니다.",6
ynat-v1_train_00044,"산업 생산량 증가, 제조 가동률 향상",4
ynat-v1_train_00047,"김종인 래더 사건, 충격이 계속되고 있습니다.",2
ynat-v1_train_00051,근육 조직 형성의 열쇠를 발견하다,0
ynat-v1_train_00053,코로나 바이러스 시대의 학교의 모습,0
ynat-v1_train_00055,스마트폰 방 차단 스트럭커,4
ynat-v1_train_00056,유엔 리비아 내전 악화-국제적 파급 우려...아랍연맹 긴급회의 종합,2
ynat-v1_train_00057,문 대통령은 곧 김정은 정상회담을 끝내고 합의에 도달하는 것을 목표로합니다.,2
ynat-v1_train_00058,한-미 신약 개발 본격화,6
ynat-v1_train_00060,공룡 파충류보다는 타조 매와 다른 조류에 더 가깝습니다.,5
ynat-v1_train_00061,"GS칼텍스, 대한항공 우리카드에 3연승... 대한항공 우리카드에 3연승... GS칼텍스 1라운드 매치업",1
ynat-v1_train_00063,영상 선거부터 퇴임까지... 나경원 원내대표의 파란만장한 임기 1년,0
ynat-v1_train_00066,지난 챔피언스리그 16강에서 레알과 아틀레티코가 마드리드 더비를 펼쳤습니다.,1
ynat-v1_train_00068,"MBC '류현진 특집 다큐멘터리'...류현진, MLB 레전드에게 듣는다",1
ynat-v1_train_00070,"모바일 컴퓨팅의 미래... ACM 모비시스, 한국 서울에 오픈",4
ynat-v1_train_00071,비디오 냄새가 나는데... 퇴근길에 수상한 차를 따라갔습니다.,0
ynat-v1_train_00072,"독일, 반이스라엘 테러리스트 팔레스타인인의 발언 차단...비자 취소",6
ynat-v1_train_00073,"대한항공, 인천-바르셀로나 노선 취항",1
ynat-v1_train_00074,한국전 승리를 자신하는 월드컵 감독 S,1
ynat-v1_train_00076,"북한, 민주전선 결성에 관한 보고대회 개최",2
ynat-v1_train_00078,"대구-경북 고용유지지원금 신청 급증: 2월~3월 7,550건 신청",5
ynat-v1_train_00079,"애스턴 마틴, 한국에서 단 500대만 생산한다",0
ynat-v1_train_00080,태블릿PC 조작설 변희재 1심 징역 2년... 변희재 1심 징역 2년... 반복적인 악의적 공격요약,5
ynat-v1_train_00081,붐비는 성산일출봉 주차장,2
ynat-v1_train_00085,네이버 모바일 엔터테인먼트 판에 적용된 AI 콘텐츠 추천 시스템,5
ynat-v1_train_00088,증권 신상품 3 국채 선물 인버스 ETF,5
ynat-v1_train_00090,서울책방 엔풍유 인수... 라인서점 교문영풍 양강D로 인수,5
ynat-v1_train_00093,문 대통령이 호주 총리와 축구 시범경기에서 1-1 무승부를 축하하고 있다.,1
ynat-v1_train_00095,"흥국운용의 2,350억 원 규모의 중견기업 인수금융 펀드 1호 결성 완료",2
ynat-v1_train_00097,종이 위에 3D 모델을 만들어 증강 현실을 경험하세요.,4
ynat-v1_train_00099,"북한의 무수단 발사, 대기권 재진입 기술 확보에 달렸다",1
ynat-v1_train_00100,"북한, 백두산에 대한 연구를 서방에 처음으로 제안... 과학 외교의 번영",6
ynat-v1_train_00101,~중앙대 농구- 제8회 중앙대 경기 시작,3
ynat-v1_train_00102,"코스피, 미국발 악재에 또다시 급락.......2360년대",5
ynat-v1_train_00104,박기원 감독은 승리에도 불구하고 엔진을 꺼버린 듯합니다.,0
ynat-v1_train_00105,"한국관광공사, 업무협약 체결",3
ynat-v1_train_00106,프로축구2부리그부산 안산 11 무승부,0
ynat-v1_train_00107,"프랑스, G7 정상회의 청사진 공개",6
ynat-v1_train_00108,지역 도시 난개발 방지 개정안 도입,3
ynat-v1_train_00109,"일대일 POS, 2P 무산, 인도",2
ynat-v1_train_00111,씨아트 드라이빙 시뮬레이터,3
ynat-v1_train_00112,"개혁보수신당, 'E'당 추진",2
ynat-v1_train_00114,탄드파 = 코로나 격리시설에서 탈출한 외국인_서 VS.,6
ynat-v1_train_00115,"최병륜, 울산 MBC 사장",0
ynat-v1_train_00116,전광인 4 없이도 코리아 L FTV4 컵서현: 캐피탈이 코리아 L을 꺾다,1
ynat-v1_train_00117,어촌으로 떠나는 봄 여행... 우리가 가장 좋아하는 어촌 여행지 20곳,2
ynat-v1_train_00118,"우주 로켓, 낙뢰에도 살아남아... 탑재체 위성을 궤도로 보내다",3
ynat-v1_train_00119,게시판 인터넷신문위원회 미디어 분쟁 교육,3
ynat-v1_train_00121,"손경제, 우즈베키스탄과 협력 논의",5
ynat-v1_train_00122,지역 경제 활성화 담당 사장,2
ynat-v1_train_00124,"박광이, 말하기",2
ynat-v1_train_00125,"2대2 배구, 팀 코칭스태프 완성... 트레이너에 정상혁 코치 영입",1
ynat-v1_train_00126,오후에 흐리고 산발적으로 비가 내립니다.,0
ynat-v1_train_00131,모멘트 학교 급식U4큐비클lx노래,3
ynat-v1_train_00132,멀리서 개 짖는 소리가 들립니다.,0
ynat-v1_train_00134,"코오롱플라스틱, 1분기 영업이익 58억 원으로 138% 증가",5
ynat-v1_train_00136,초기 1차 투표 결과 유출에 대한 논란,2
ynat-v1_train_00137,2017년 최고의 연극인 루프탑 페퍼스가 두 번째 공연으로 돌아온 이유,0
ynat-v1_train_00138,"삼성 빅스비, 한국 서울에서 첫 개발자 행사 개최",3
ynat-v1_train_00139,제거됨부착된액세서리Y 스마트폰 업그레이드업그레이드,3
ynat-v1_train_00140,무등산에서 광주지역 올해 첫 얼음 목격,0
ynat-v1_train_00142,"박 대통령, TK 의원들과 사드 우려 청취",2
ynat-v1_train_00143,"지소미아 종료 8일 앞두고...문 대통령, 미국 압박에 고민 깊어져",4
ynat-v1_train_00144,"스타 셰프, 호텔에서 음식을 만나다... 더 플라자, 레스토랑 4곳 오픈",4
ynat-v1_train_00145,"우리은행 박혜진 선수, 2년 연속 연봉 3억 원 돌파",1
ynat-v1_train_00148,내가 시리보다 낫다...빅스비의 연쇄 드립 도발요약,2
ynat-v1_train_00150,"11월, 지갑을 열다... 소매점 할인 열기가 뜨겁다",5
ynat-v1_train_00151,한국형 발사체 75T 엔진 첫 연소 시험 성공,1
ynat-v1_train_00153,"힐만, 산체스를 15~16일 불펜으로 기용할 예정",6
ynat-v1_train_00156,GS칼텍스 IBK기업은행과 세터 이나연↔고은무역이 맞붙는다.,1
ynat-v1_train_00160,KT 안랩과 TI 및 정보보안 통합 서비스 개발을 위한 업무 협약 체결,6
ynat-v1_train_00161,"S9XOCCOCOt6공동 작업 온라인 코스 -> **공동 작업 온라인 코스, **공동 작업 온라인 코스**.",3
ynat-v1_train_00162,"북한 당 대회 나흘 만에 일부 외신 출입 허용...김정은, 취임사 발표",6
ynat-v1_train_00164,도쿄 주택가 공원 연못에서 토막 시신 발견,6
ynat-v1_train_00165,"홍콩 시위대, 경찰서에서 여성 강제 발가벗겨 수색",1
ynat-v1_train_00166,"삼성, 세계 최초 후면 쿼드 카메라 탑재 갤럭시 A9 공개",1
ynat-v1_train_00167,"손흥민, AG 대표팀 합류...31일 소집 참가 어려울 듯",4
ynat-v1_train_00171,"미국, 이란 반대 국민 체포 충돌... 구금 중 학대, 서로 비방하다",5
ynat-v1_train_00172,미네소타 램지 입구에서 부상자 2명 발생,6
ynat-v1_train_00173,"홍남기 미래부 1차관, 서울혁신센터 등 현장 방문",0
ynat-v1_train_00175,"북한 사이버 공격 그룹, 세계 은행에서 1,000억 달러 훔치다전체",5
ynat-v1_train_00176,"미-일 당국자, 북한 발사체에 전화...미-일 협력 확인",6
ynat-v1_train_00177,"인용문 필사의 즐거움, 3문장 필사하기",0
ynat-v1_train_00182,포천아트밸리 45미터 높이 절벽을 배경으로 펼쳐지는 야간 공중쇼,3
ynat-v1_train_00183,"탈북민 친선봉사단, 연천서 통일기원동산 벽화 그리기",3
ynat-v1_train_00184,"SK, 윌리엄스 대체 선수 영입",1
ynat-v1_train_00185,금융개발위원회 본회의,0
ynat-v1_train_00186,"KB증권, 농심 4분기 라면 실적 개선...목표주가 상향 조정",6
ynat-v1_train_00187,"반기문, 리창 총리와 만찬...2년 전 약속 이행",6
ynat-v1_train_00188,집권 여당인 새누리당 소속 국회의원인 ㄹ화|는,2
ynat-v1_train_00189,"400년 전 일본으로 건너간 한국 최초의 여성 도공, 백파선",1
ynat-v1_train_00191,다저스는 3년 연속 월드시리즈 우승 후보이지만 우승은 확실하지 않습니다.,1
ynat-v1_train_00193,"구글, 3세대 크롬캐스트 출시...신세계아이앤씨, 국내 독점 판매한다",5
ynat-v1_train_00194,"전 한겨레신문 논설위원, 서울교양시민대학 초대 총장",1
ynat-v1_train_00195,"웨이포트, 6월 22일 상장폐지 신청 예정",0
ynat-v1_train_00197,M$Jungwhoe l .c 준비는 인생 WSouth_North_Rehearsal 또 다른 리허설,0
ynat-v1_train_00198,"SBS '그것이 알고 싶다', 11.2% 시청률로 '버닝썬 게이트' 다루다",5
ynat-v1_train_00199,"현대차증권, 3,000억 원 규모의 MMT 매입 추진",2
ynat-v1_train_00201,광 활성화 나노선 트랜지스터 개발 성공,4
ynat-v1_train_00203,"증권사, 성장 둔화에 따른 오릭스 목표치 하향 조정",5
ynat-v1_train_00205,특성; 분할 F-주식; 수익률; 첫날; 약세,3
ynat-v1_train_00207,故文中央院旗幣特工委員會政府が行動しています...青の洞にの賞金マーケーションが行われます,0
ynat-v1_train_00208,새누리당 갈등 폭발 상임전국위원회 - 전국위원회란 무엇인가요?,2
ynat-v1_train_00211,"한국 남자 농구 대표팀, 월드컵 본선 진출...아시아 예선서 중국 꺾고 본선 진출 확정",1
ynat-v1_train_00212,"안철수, 장애인 정책 발표",6
ynat-v1_train_00213,키르기스스탄과의 아시안게임을 앞두고 김학범 감독이 자신만의...,6
ynat-v1_train_00220,"삼성, 2분기 글로벌 스마트폰 시장 점유율 1위 유지...중국 추격에 발목 잡혀",1
ynat-v1_train_00222,보스니아 무슬림 학살에 대한 네덜란드 정부의 책임 10%,4
ynat-v1_train_00223,카카오미니 사전예약 38분 만에 마감...접속자 폭주 및 오류 발생,5
ynat-v1_train_00224,민주화 과정예산 확보의 대가로 법인세 양보를 구하는 것,1
ynat-v1_train_00225,점프 후 온몸에 경련,1
ynat-v1_train_00226,"한화 5승, 두산 20점차 앞서...SK-LG 추격전",1
ynat-v1_train_00227,"청년 디지털 일자리 등 3차 추경 사업 민간 채용률, 11%에 그쳐",4
ynat-v1_train_00229,"보령뉴스 보령시, 시간선택제임기제 공무원 3명 모집",3
ynat-v1_train_00230,"류현진, FA 7위...시즌 막판 부진으로 각종 의문 제기",1
ynat-v1_train_00232,충북 가마솥 더위 계속...주말도 덥다,2
ynat-v1_train_00234,광산 뇌물 수수 혐의로 기소된 억만장자 베니 스타인메츠,1
ynat-v1_train_00235,신규 답이 없는 질문을 견디는 힘,4
ynat-v1_train_00240,"번개 중거리 방사포, 러시아로 가는 길을 열다, 이창민 종화",1
ynat-v1_train_00241,"V3 모바일 시큐리티, 악성코드 감염 50,000건 차단",5
ynat-v1_train_00242,"임도헌 라바리니 남녀배구 감독, 보령서 감독과 잠시 만난 모습",3
ynat-v1_train_00243,"하비에르, 정치권에 타협 촉구",2
ynat-v1_train_00248,"이승우, 네덜란드 대표팀 임대 입단",1
ynat-v1_train_00249,"박 대통령, 테러 방지법 추진",2
ynat-v1_train_00251,"삼성, 애플, LG, 구글 스마트폰의 가을 대결이 임박했습니다.",4
ynat-v1_train_00252,"트럼프, 드론 격추로 이란에 대한 보복 공격 승인, 갑자기 백지화코리아투 리포트",5
ynat-v1_train_00253,"폴란드, 이란을 겨냥한 미국 주도의 60개국 중동 문제 회의 폴란드에서 시작",2
ynat-v1_train_00254,"네이버 AI, 식당 예약 전화 받는 'AI 콜' 공개",4
ynat-v1_train_00255,봄비 속 꽃,3
ynat-v1_train_00257,언론인 폄하 발언으로 논란에 휩싸인 기자,3
ynat-v1_train_00258,초등학생 경북도청 | 사람`,3
ynat-v1_train_00259,KT의 인공지능 기술로 당신의 목소리를 찾아드립니다...목소리 찾기 프로젝트,3
ynat-v1_train_00260,아이폰 11 프로 리뷰...기대 이상의 프로급 카메라 성능,1
ynat-v1_train_00262,"국립민속박물관, 아카이브 제작 특별전 개최",4
ynat-v1_train_00263,자신감 얻은 임도헌호의 젊은 선수들...내년 1월 진짜 시험대에 오른다,1
ynat-v1_train_00265,39광년 떨어진 곳에서 지구 크기의 세 쌍둥이 발견,6
ynat-v1_train_00266,"무형유산, 무형유산 주권 회복을 위한 노력",2
ynat-v1_train_00267,"NC 출신 왕웨이중, 메이저리그 복귀...에인절스전 2이닝 무실점 투구",1
ynat-v1_train_00269,"차범근과 손흥민의 공통점은 무엇일까요? 25세와 8세, 9세",0
ynat-v1_train_00270,다당제와 합의 정치에 대한 손학규 대표의 신년사,1
ynat-v1_train_00271,"노벨 평화상 소식에 환호하는 아프리카...각국 정상들, 수상 환영",2
ynat-v1_train_00272,野가 전하는 민심...올바른 교체를 요구하는 비틀랜드의 목소리도,1
ynat-v1_train_00273,위안부 피해자 그림 할머니의 이야기,6
ynat-v1_train_00274,물가 상승과 미세먼지로 어려움을 겪고 있는 대한민국,6
ynat-v1_train_00275,내년 코스피 그래픽 전망,5
ynat-v1_train_00277,"NHN엔터테인먼트 2분기 영업이익, 전년 동기 대비 50% 증가",5
ynat-v1_train_00279,"최지만, 시즌 첫 3점슛 성공...종아리 통증으로 떠난다",4
ynat-v1_train_00281,"춘천 MBC <나이야가라>, 한국방송대상 작품상 수상",6
ynat-v1_train_00282,첼시의 콘테 감독은 AS 로마전 선발 출전 여부를 결정할 것이라고 밝혔다.,4
ynat-v1_train_00283,부산국제코미디페스티벌 참가,0
ynat-v1_train_00284,"연천, 영하 9.1도...경북 기온 오후부터 상승세",0
ynat-v1_train_00285,드래그 퀸 연극 '조지 맥브라이드의 전설'이 다음 달 초연됩니다.,0
ynat-v1_train_00286,이스라엘의 역사가 녹아내린 희귀 한 비극 말 한 마리 ...,0
ynat-v1_train_00288,"게시판, 제38회 대한출판학회 천재교육상 등 수상작 선정",4
