id,text
gemini-00000,"롯데백화점, 추석맞이 명품 선물세트 판매 시작,4"
gemini-00001,"SK텔레콤, 5G 서비스 확대…전국 커버리지 강화,4"
gemini-00002,"국내 연구진, 차세대 배터리 기술 개발 성공,4"
gemini-00003,"카카오뱅크, 금융 서비스 고도화…AI 기반 상담 도입,4"
gemini-00004,"코스피, 외국인 매수세 지속…상승세 이어갈까,5"
gemini-00005,"삼성전자, 반도체 시장 점유율 확대…경쟁 심화,5"
gemini-00006,"美 연준, 금리 인상 가능성…경제 불확실성 증가,5"
gemini-00007,"중국, 코로나19 봉쇄 완화…경제 회복 기대,5"
gemini-00008,"北, 새로운 탄도미사일 발사…국제사회 우려,6"
gemini-00009,"우크라이나 전쟁, 장기화 조짐…국제 사회 갈등 심화,6"
gemini-00010,"국내 대기업, 친환경 소재 개발 경쟁 본격화, 4"
gemini-00011,"챗GPT 열풍, 교육 현장에도 불어닥친다, 4"
gemini-00012,"전기차 충전 인프라 확대, 정부 지원 강화, 4"
gemini-00013,"유튜브 알고리즘, 콘텐츠 제작 방향 결정, 4"
gemini-00014,"인공지능 기반 의료 진단 시스템, 상용화 눈앞, 4"
gemini-00015,"한국 증시, 금리 인상 우려 속 불안한 흐름, 5"
gemini-00016,"중국 경제 성장 둔화, 글로벌 경제에 악영향 우려, 5"
gemini-00017,"원유 가격 급등, 소비자 물가 상승 압박, 5"
gemini-00018,"북한 미사일 발사, 한반도 긴장 고조, 6"
gemini-00019,"챗GPT, 과학기술 분야의 새로운 혁신을 이끌다,4"
gemini-00020,"국내 게임업계, NFT 도입 본격화… 신규 게임 출시 러시 예고, 4"
gemini-00021,"""조국 사태"" 재판 결과, 검찰의 승리? 법원의 판단은?, 2"
gemini-00022,"이탈리아 화산 폭발, 관광객 대피… 항공편 결항 속출, 6"
gemini-00023,"""ESG 경영, 기업의 필수 요소"" 전문가들 한목소리, 5"
gemini-00024,"""한국당 해체는 시대적 과제"" 민주당, 강력한 비판 목소리, 2"
gemini-00025,"""인공지능, 인간의 일자리를 빼앗을까?"" 사회적 논쟁 점화, 4"
gemini-00026,"엘론 머스크 ""테슬라, 2023년까지 자율주행 완벽 구현 목표"", 4"
gemini-00027,"SK하이닉스, 10나노급 D램 양산…삼성전자 추격 본격화, 4"
gemini-00028,"미국, 중국산 희토류 의존도 줄이기 위해 새로운 광산 개발 추진, 5"
gemini-00029,"코로나19 팬데믹 이후, 온라인 쇼핑 성장세 지속…배송 시스템 변화 예상, 5"
gemini-00030,"""AI, 의료 분야 혁신 이끌 것""…국내 병원, AI 도입 가속화, 4"
gemini-00031,"2023년 하반기 스마트폰 시장, 폴더블폰 경쟁 심화 예상, 4"
gemini-00032,"우주여행 시대 본격화… 민간 우주여행 사업, 투자 봇물, 4"
gemini-00033,"코스피 지수, 3,000 돌파 가능성…경제 회복 기대감 고조, 5"
gemini-00034,"러시아-우크라이나 전쟁 장기화…국제 유가 급등, 5"
gemini-00035,"기후변화 심각성… 극심한 폭염과 가뭄, 전 세계 곳곳에서 발생, 6"
gemini-00036,"카카오페이, 금융 서비스 확장…증권사 인수 추진, 5"
gemini-00037,"미국, 중국산 태양광 패널에 고율 관세 부과, 6"
gemini-00038,"국민의힘, 차기 대선 후보 경선룰 놓고 내분…당 대표 권한 강화 vs. 당원 참여 확대, 2"
gemini-00039,"국제유가 급락에 원유 관련주 폭락,5"
gemini-00040,"서울시, 2024년까지 모든 버스 노선에 무료 와이파이 설치,4"
gemini-00041,"코로나19 백신 접종 완료율 80% 돌파, 국민 건강 지키기 위한 노력 결실,4"
gemini-00042,"넷플릭스, 한국 드라마 투자 확대…K-콘텐츠 세계 시장 공략 가속화,4"
gemini-00043,"미국, 중국 반도체 산업 견제 강화…첨단 기술 경쟁 심화,5"
gemini-00044,"유럽연합, 탄소 배출 감축 목표 상향…기후변화 대응 강화,6"
gemini-00045,"러시아, 우크라이나 침공 1년…국제사회 비난 속 지속되는 전쟁,6"
gemini-00046,"일본, 후쿠시마 원전 오염수 방류 결정…주변국 반발 거세,6"
gemini-00047,"尹 대통령, 日 방문…후쿠시마 오염수 문제 해결 촉구, 6"
gemini-00048,"국내 주요 은행, 내년부터 가상자산 거래 지원 예정, 5"
gemini-00049,"2024년 하반기 출시 예정인 아이폰16, 새로운 기능 대거 탑재, 4"
gemini-00050,"여야, 내년 총선 앞두고 막말·네거티브 공방 과열, 2"
gemini-00051,"尹 대통령, 국민과의 소통 강화 위해 '국민과의 대화' 프로그램 신설, 2"
gemini-00052,"급증하는 1인 가구, 새로운 소비 트렌드와 사회 문제 야기, 4"
gemini-00053,"2024년 상반기, 한국 주식 시장 전망 긍정적, 5"
gemini-00054,"한-미 정상회담, 북핵 문제 해결 위한 공동 노력 강조, 2"
gemini-00055,"국내 게임사, VR·AR 시장 진출 가속화...차세대 플랫폼 경쟁 본격화,4"
gemini-00056,"북한, 신형 탄도미사일 발사...한미 연합훈련 강화,6"
gemini-00057,"""AI는 인간을 대체할 수 없다"" 전문가들 의견 분분, 4"
gemini-00058,"""기업 이익 감소 우려"" 코스피, 3,000선 지지 부담 커져, 5"
gemini-00059,"중국, 한국산 반도체 장비 수입 규제 강화, 5"
gemini-00060,"AI 로봇, 노인 돌봄 서비스 시장 진출 본격화, 4"
gemini-00061,"미국, 대북 제재 완화 검토…비핵화 협상 재개 시동, 6"
gemini-00062,"전 세계 석유 시장, 공급 과잉 우려…유가 급락 가능성, 5"
gemini-00063,"수도권 집중 현상 심화…지방 도시 경쟁력 약화, 2"
gemini-00064,"국회, 내년 예산안 협상 난항…여야 대치 심화, 2"
gemini-00065,"""북한, 신형 무인기 개발 성공 주장…국제사회 우려"", 6"
gemini-00066,"""정부, 코로나19 4차 대유행 대비 강화된 방역 조치 발표"", 2"
gemini-00067,"삼성, 갤럭시 Z 플립5 출시 앞두고 사전 예약 돌풍,4"
gemini-00068,"국내 게임 시장, 모바일 게임 매출 급증…PC 게임 시장 위축,4"
gemini-00069,"폭염 속 잦은 정전 사태…전력난 심화 우려,4"
gemini-00070,"국민의힘 당대표 선거, 안철수-김기현 2파전…결과는 다음 주에,2"
gemini-00071,"""카카오페이, '증권 투자' 기능 추가... 플랫폼 확장 가속화"", 5"
gemini-00072,"""서울 강남, 10억원 아파트 넘쳐나... 부동산 시장 과열 우려"", 5"
gemini-00073,"""한미 FTA 재협상, 농업 분야 타결 불발... 쟁점 남아"", 2"
gemini-00074,"중국, 첨단 기술 개발에 박차 가해,4"
gemini-00075,"**LG전자, 차세대 폴더블폰 출시 예정,4**"
gemini-00076,"**카카오뱅크, 신규 대출 상품 출시로 시장 경쟁 심화,5**"
gemini-00077,"**AI 기반 개인 맞춤형 교육 서비스, 새로운 교육 패러다임 제시,4**"
gemini-00078,"**국내 코로나19 백신 접종률, 세계 평균 웃돌아,2**"
gemini-00079,"**정부, 탄소 중립 목표 달성 위한 핵심 정책 발표,2**"
gemini-00080,"**유럽연합, 러시아 에너지 의존도 줄이기 위한 노력 강화,6**"
gemini-00081,"**전 세계 주요 기업, ESG 경영 도입 가속화,5**"
gemini-00082,"현대차, 전기차 시장 공략 강화… 아이오닉 7 출시 예정, 4"
gemini-00083,"SK하이닉스, 낸드플래시 생산량 증가… 반도체 시장 주도권 강화, 4"
gemini-00084,"쿠팡, 새벽 배송 서비스 확대… 경쟁 심화, 5"
gemini-00085,"코로나19 여파, 국제 유가 급락… 원유 시장 불안, 5"
gemini-00086,"미중 무역 협상 난항… 세계 경제 불확실성 증가, 5"
gemini-00087,"프랑스, 대규모 파업… 연금 개혁 반대, 6"
gemini-00088,"'혐오 발언' 논란, 정치권 갈등 심화, 2"
gemini-00089,"코로나19 팬데믹, 글로벌 공급망 재편 가속화… 국내 기업들 대응 전략 주목, 5"
gemini-00090,"한반도 평화 정착 위한 남북 대화 재개… 정치권, 긴장 완화 목소리 높여, 2"
gemini-00091,"카카오페이, 간편결제 시장 넘어 금융 플랫폼 도약 시동, 4"
gemini-00092,"국내 첫 민간 우주 발사체 누리호, 2차 발사 성공 기대, 4"
gemini-00093,"윤석열 정부, 부동산 정책 실패 책임론…민심 이반 우려 커져, 2"
gemini-00094,"검찰, '조국 일가 비리' 수사 확대…정치권 공방 가열, 2"
gemini-00095,"'이태원 참사' 진상 규명 촉구…정부 책임론 거세, 2"
gemini-00096,"대통령실, '민주당 압박' 논란…정치적 중립성 논란, 2"
gemini-00097,"'코로나19 백신 부작용' 논란…정부 대응 미흡 지적, 2"
gemini-00098,"카카오뱅크, 1분기 순이익 1,000억 돌파… 성장세 지속, 5"
gemini-00099,"전국 100만명 넘는 시민, ""주택 가격 폭등, 더 이상 못 참겠다"" 거리로 나서다, 5"
gemini-00100,"일본, 방위비 증액 추진…안보 불안 심화 우려, 6"
gemini-00101,"한국 주식시장, 외국인 투자자 매수세 지속…코스피 사상 최고치 경신, 5"
gemini-00102,"기후변화 심각성 경고…지구 온난화로 해수면 상승 가속, 6"
gemini-00103,"페이스북, 메타버스 플랫폼 '호라이즌 월드' 정식 출시, 4"
gemini-00104,"중국, 대만 침공 위협 고조…미국과의 긴장감 높아져, 6"
gemini-00105,"차기 대선 주자들, 지지율 경쟁 치열…정책 공약 발표, 2"
gemini-00106,"검찰 개혁 논란 지속…검찰 권력 축소 vs 검찰 독립, 2"
gemini-00107,"중국, 차세대 스텔스 전투기 실험 성공, 6"
gemini-00108,"주택담보대출 금리 인상…서민 경제에 빨간불, 5"
gemini-00109,"전국민 재난지원금 지급 논란…정부, 경제 효과 분석 결과 발표, 5"
gemini-00110,"SK하이닉스, 美 반도체 장비업체와 10조원 규모 투자 계약 체결, 5"
gemini-00111,"""AI 챗봇, 고객센터 상담원 대체할까?""…업계 뜨거운 논쟁, 4"
gemini-00112,"""미세먼지, 숨 막히는 도시""…서울, 초미세먼지 농도 '최악' 기록, 6"
gemini-00113,"""한국, 2030년까지 탄소중립 달성 목표""…재생에너지 투자 확대, 4"
gemini-00114,"국내 최초 5G 기반 스마트팩토리 구축,4"
gemini-00115,"미중 무역협상 난항…관세 추가 부과 가능성 높아,5"
gemini-00116,"탈북자 김모씨, 북한 인권 실태 폭로…국제사회에 충격,6"
gemini-00117,"국회, 탄소배출 감축 목표 상향 논의…환경단체 환영,2"
gemini-00118,"챗GPT, 인공지능 윤리 논쟁 불붙여…규제 필요성 대두,4"
gemini-00119,"2023년 노벨상 수상자 발표…한국 과학자 수상 가능성 기대,4"
gemini-00120,"""코로나19, 팬데믹 아닌 엔데믹 시대 도래"", 전문가 분석, 4"
gemini-00121,"'K팝 열풍' 지속…방탄소년단, 미국 빌보드 1위 석권, 4"
gemini-00122,"국제유가 급등…휘발유 가격 1700원 돌파, 5"
gemini-00123,"일본, 한국 수출 규제 강화…경제 보복 논란, 6"
gemini-00124,"인도네시아, 석탄 발전소 건설 중단…기후변화 대응 강화, 5"
gemini-00125,"미국, 아프가니스탄 철군 이후 혼란…테러 위협 증가, 6"
gemini-00126,"브라질 대선, 극우 후보 승리…국제 사회 우려, 6"
gemini-00127,"민주당, 당 대표 선거…차기 지도부 구성 놓고 경쟁 치열, 2"
gemini-00128,"국민의힘, 당 혁신위 출범…쇄신 노력 본격화, 2"
gemini-00129,"정치 개혁 논의 활발…선거 제도 개편 등 주요 과제, 2"
gemini-00130,"'인공지능 기술 발전, 일자리 감소 우려', 4"
gemini-00131,"갤럭시 S23 출시 임박…카메라 성능 업그레이드 기대, 4"
gemini-00132,"인공지능 기반 챗봇 서비스 출시, 고객 만족도 향상 기대,4"
gemini-00133,"전기차 배터리 시장 경쟁 심화…국내 업체 기술력 경쟁력 확보, 5"
gemini-00134,"미얀마 군부 쿠데타 이후…민주화 운동 확산 및 국제사회 비난, 6"
gemini-00135,"대법원, 전교조 법외노조 판결…교육계 혼란 예상, 2"
gemini-00136,"한미일 군사협력 강화…북한 핵·미사일 위협 공동 대응, 2"
gemini-00137,"가상자산 시장 규제 강화…투자자 보호 위한 조치, 5"
gemini-00138,"코로나19 확산세 지속…정부, 사회적 거리두기 강화, 2"
gemini-00139,"'MZ세대' 표심 잡기 위한 정치권의 몸부림…SNS 마케팅 경쟁 심화, 2"
gemini-00140,"'묻지마 폭행' 범죄 증가…경찰, 예방 활동 강화, 6"
gemini-00141,"유럽연합, 러시아 제재 강화…우크라이나 지원 확대, 6"
gemini-00142,"**카카오페이, 핀테크 시장 점령 위한 새로운 서비스 출시,4**"
