ID,text,target
ynat-v1_train_00000_ev,"KT, 통신 이용 기간 2년 단축 계획 발표",4
ynat-v1_train_00001_ev,"경찰, 국회의장 및 2명 추가 송치",3
ynat-v1_train_00002_ev,"김정은, 자주통일 새로운 길 모색: 북한, 통일 방안 재검토 시사",2
ynat-v1_train_00004_ev,"2024년 미국 대선 앞두고 러시아 해킹 위협에 대한 우려 고조, 사이버 보안 강화 조치 시행",6
ynat-v1_train_00006_ev,"롯데 자이언츠, KIA 타이거즈와의 광주 원정 경기 우천 취소",1
ynat-v1_train_00010_ev,"모하비 사막의 뜨거운 열기, 주가 폭등 이끌다: 투자자들의 열띤 관심 속에 모하비 리조트 주식 가치 상승",5
ynat-v1_train_00013_ev,애플 공식 서비스 센터에서 아이폰 수리 및 맥북 디스플레이 교체 서비스 제공,4
ynat-v1_train_00014_ev,"민관 협력, 2동 7사위 X보 철거 결정: 주민 이주 및 보상 계획 발표",2
ynat-v1_train_00018_ev,"전 연정연 작가, 신작 소설 출간하며 문단 복귀 예고",0
ynat-v1_train_00021_ev,"KIA, 팬들에게 감사 인사와 함께 시즌 마무리",1
ynat-v1_train_00022_ev,"현대차, 임원 6명 추가 선임하며 조직 개편 단행",3
ynat-v1_train_00025_ev,선 폭 및 현장 조사 결과: 주요 발견 사항 공개,3
ynat-v1_train_00026_ev,"STJ레콤, 2분기 영업이익 4,105억원 기록하며 전년 동기 대비 21% 증가",5
ynat-v1_train_00027_ev,생체인증 도입으로 서비스 이용 간편화: 더 빠르고 안전하게,4
ynat-v1_train_00028_ev,"감독, 승부조작 혐의로 축구연맹에 회부되어 징계 심의 대상",1
ynat-v1_train_00029_ev,"폭염 속에도 뜨거운 열기! 인천, 35℃ 기온에도 축구 경기 열전 펼쳐져",1
ynat-v1_train_00030_ev,"해외 로밍 요금, 폭탄처럼 떨어진다: 통신사, 경쟁 심화로 파격적인 할인율 제공",4
ynat-v1_train_00031_ev,"세계무역협회, 1,550명 무역 전문가 배출하며 글로벌 무역 인재 양성 선도",3
ynat-v1_train_00032_ev,"박항서 감독, 베트남 축구 대표팀 지휘봉 잡다: 새로운 도약을 향한 기대감 고조",1
ynat-v1_train_00033_ev,석면 안전 규정 준수 의무 강조: 건강 위험 경고 및 법적 책임 강조,3
ynat-v1_train_00037_ev,"생산 현장에서 인공 광원 활용, DCST C보다 효과 입증",4
ynat-v1_train_00041_ev,"다저스, 2023시즌 포수진 확정: 버츠 감독 체제 하에 새로운 시작 알리다",1
ynat-v1_train_00042_ev,"창조경제 활성화 방안 논의, 세계경제포럼 연차총회서 본격화",2
ynat-v1_train_00044_ev,"산업 생산 증가세 지속, 제조업 가동률 상승하며 경기 회복 신호 보여",5
ynat-v1_train_00045_ev,"특별 제품 판매 호조, 시장 흔들다",3
ynat-v1_train_00046_ev,"농구팀 5개, 은행 직원 4명 꺾고 우승 차지",1
ynat-v1_train_00047_ev,"김종인, 라더스 사태 여파로 지속적인 충격 속에 놓여",2
ynat-v1_train_00048_ev,"김정은, 트로트 공연 관람 중 춤 실력 감춰… 비밀스러운 몸짓은 여전히 미스터리",1
ynat-v1_train_00049_ev,"인공지능, 인류 진보의 촉매제인가, 아니면 위협인가?",3
ynat-v1_train_00050_ev,"미국 MBA 프로그램, 여성 비율 지속적인 증가세: 성별 다양성 향상, 리더십 변화 시사",6
ynat-v1_train_00052_ev,"한국에서의 급여 수준: 직업, 경험, 지역별 예상 소득 살펴보기",4
ynat-v1_train_00053_ev,"코로나19 팬데믹 속, 달라진 학교 풍경: 마스크와 거리두기 속 등교 모습",3
ynat-v1_train_00054_ev,"LG V40, 5개 카메라 탑재로 다채로운 촬영 경험 제공",4
ynat-v1_train_00055_ev,스마트폰 분실 걱정 끝! 스마트 트래커로 소중한 휴대폰 안전하게 지키세요,4
ynat-v1_train_00057_ev,"남북 정상회담, 조속한 마무리 목표... 구체적 합의 사항 주목",2
ynat-v1_train_00058_ev,"한M2 치료제 개발, 임상시험 돌입하며 본격화",6
ynat-v1_train_00062_ev,코로나19 확진자 수 10만 명 돌파,5
ynat-v1_train_00064_ev,"유럽 연합, 상품 교환 협정 타결: 무역 장벽 완화 및 경제 성장 촉진 기대",5
ynat-v1_train_00065_ev,"3개 부처 합동, 국제 사회 일원으로서 책임과 역할 강조",2
ynat-v1_train_00067_ev,콩나물 값 폭등과 지하철 이용객 증가: 물가 상승과 대중교통 이용 확대의 상관관계,6
ynat-v1_train_00069_ev,"D1v 활성화, 고용 안정에 실질적인 도움 될까? 기대와 우려 속 현실적인 분석",2
ynat-v1_train_00074_ev,"월드컵 한국전 승리 자신감 넘치는 S 감독, 팀 전력 점검하며 필승 의지 불태워",1
ynat-v1_train_00075_ev,"특허 6개 확보, 52억원 투자 유치하며 사업 확장 본격화",5
ynat-v1_train_00076_ev,"북한, 민주주의 진영과 대치 선언: '반미·반제' 연대 강화 보고회 개최",2
ynat-v1_train_00077_ev,"법정, 내 처리 요구: 피고인, 재판 과정에 대한 불만 제기",5
ynat-v1_train_00079_ev,"애스턴마틴, 국내 생산 거점 확보하며 연간 500대 생산 목표",0
ynat-v1_train_00082_ev,"추신수, 시즌 종료 후 타율 0.21 기록하며 아쉬움 남겨",1
ynat-v1_train_00084_ev,"한국사이버, 2분기 영업이익 감소… 성장 둔화 우려",5
ynat-v1_train_00086_ev,"의료 서비스 이용, 사전 예약 없이는 불가능",6
ynat-v1_train_00087_ev,"수능 6개월 앞두고 울산시교육청, 학생 맞춤형 학습 자료 공개",0
ynat-v1_train_00089_ev,내비게이션 시스템 개선 및 국민 편의 증진을 위한 정부 노력,3
ynat-v1_train_00090_ev,"라인서점, 서울문고·영풍문고 인수하며 국내 서점 시장 양강 체제 구축",0
ynat-v1_train_00091_ev,"D20 온천, 한방의 따뜻함과 자연의 뜨거움을 경험하다",3
ynat-v1_train_00092_ev,"전국민 체험 프로그램, 78개 지역 확대하며 접근성 강화",4
ynat-v1_train_00094_ev,"멀티골 폭발, 팀 승리 이끌다",1
ynat-v1_train_00096_ev,"구글 피커 없이도 사용 가능: 새로운 기능, 더 쉬워진 접근성",4
ynat-v1_train_00097_ev,"3D 모델, 이제 종이로 출력 가능: 새로운 기술, 창의적인 표현 방식 확장",4
ynat-v1_train_00103_ev,"D대학교, 교육 목적으로 인공지능 활용 허용",5
ynat-v1_train_00105_ev,"한국관광공사, 지역 관광 활성화 위한 업무 협약 체결",3
ynat-v1_train_00107_ev,"마크롱 대통령, G7 정상회의 참석 위해 프랑스 출발",6
ynat-v1_train_00108_ev,"지역 도시 무분별한 개발, 시의원 난개발 방지 개정안 발의",3
ynat-v1_train_00109_ev,"선수, 원대회 참가 무산 위기에 놓이다",5
ynat-v1_train_00110_ev,"공장 개발, 광합성 효율 극대화 연구: 식량 생산 및 지속가능성 향상 목표",4
ynat-v1_train_00112_ev,"개혁보수신당, 통합을 통한 '단일 보수 정당' 건설 추진",2
ynat-v1_train_00113_ev,"""Z끗"" 출간: 새로운 소설, 독자들을 매혹시키는 이야기 공개",0
ynat-v1_train_00116_ev,"전광인 부재 속 현대캐피탈, 한국전력 꺾고 FTV컵 승리",1
ynat-v1_train_00120_ev,"북한 내부, 권력층 균열 조짐... 주민들 사이 불안감 확산",2
ynat-v1_train_00121_ev,"손경 회장, 우즈베키스탄 고위 관계자와 협력 강화 방안 논의",5
ynat-v1_train_00122_ev,"대통령, 지역 경제 활성화에 힘 쏟아, 주요 정책 발표 및 현장 방문 예정",2
ynat-v1_train_00123_ev,157km 조우 논란: 선동성 발언과 폭력 가능성으로 사회적 우려 증폭,1
ynat-v1_train_00125_ev,"2024시즌 2자 배구팀, 코칭 스태프 완벽 구성: 정기혁 트레이너 영입으로 막강한 팀워크 기대",1
ynat-v1_train_00126_ev,"오후부터 전국 대부분 지역 흐리고, 곳곳에 비 예상",0
ynat-v1_train_00127_ev,"GS칼텍스, 7연승 질주하며 선두 자리를 굳건히 지켜",1
ynat-v1_train_00128_ev,"수능 확대 및 교육 개혁, 교육 당국 5개년 계획 발표: 대입 제도 변화와 교육 과정 개편 예고",3
