ID,text,target
ynat-v1_train_00000,KT·이용기간 2년 단축,4
ynat-v1_train_00000,KT·이용기간 2년 단축,4
ynat-v1_train_00000,KT · 이용 2 기간 년 단축,4
ynat-v1_train_00000,· 이용 기간 2 년 단축,4
ynat-v1_train_00000_ev,KT 통신 이용 기간 2년 단축 계획 발표,4
ynat-v1_train_00001,K 찰 · 국회 의장 송치 명 2,3
ynat-v1_train_00001,K 찰 · 국회 의장 2 명 송치,3
ynat-v1_train_00001,K 검찰·국회의장 2명 송치,3
ynat-v1_train_00001,K찰·국회의장 2명 송치,3
ynat-v1_train_00001_ev,경찰 국회의장 및 2명 추가 송치,3
ynat-v1_train_00002,새롭 · 자주 통일 김정은 게 나아가 야,2
ynat-v1_train_00002,김정은 · 자주 통일 새롭 게 나아가 야,2
ynat-v1_train_00002,김정은·자주통일 새롭게 나아가야,2
ynat-v1_train_00002,김정운·자주통일을 향해 새롭게 나아가야 한다.,2
ynat-v1_train_00002_ev,김정은 자주통일 새로운 길 모색: 북한 통일 방안 재검토 시사,2
ynat-v1_train_00003,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩,4
ynat-v1_train_00003,만 노트 8 주말 27 갤 대 개통 … 시장 은 불법 보조금 얼룩,4
ynat-v1_train_00003,갤노트8 주말 27만대 개통… 시장·불법 보조금으로 얼룩지다,4
ynat-v1_train_00003,노트 8 27 만 대 개통 … 시장 은 불법 보조금 얼룩,4
ynat-v1_train_00003_ev,갤럭시 노트8 주말 27만 대 개통 돌파…불법 보조금 논란에 빛 바래,4
ynat-v1_train_00004,미 대선 앞두 고 러시아 해킹 감시 강화,6
ynat-v1_train_00004,미 대선 앞두 고 러시아 강화 감시 해킹,6
ynat-v1_train_00004,미 대선 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00004,미국 대통령 선거를 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00004_ev,2024년 미국 대선 앞두고 러시아 해킹 위협에 대한 우려 고조 사이버 보안 강화 조치 시행,6
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,6
ynat-v1_train_00005,美 성 인 6 명 중 1 명 꼴 배우자 · 연인 빚 있 은 적 떠안 다,6
ynat-v1_train_00005,美 성 인 6 명 중 1 명 배우자 · 연인 빚 떠안 은 적 있 다,6
ynat-v1_train_00005,미혼남녀 6명 중 1명은 배우자나 연인의 빚을 진 적이 있다.,6
ynat-v1_train_00005_ev,미국 성인 6명 중 1명 배우자 또는 연인의 빚 때문에 재정적 어려움 겪어,6
ynat-v1_train_00006,프로야구 롯데·KIA 광주 경기 취소,1
ynat-v1_train_00006,프로야구 롯데-KIA 광주 경기 취소,1
ynat-v1_train_00006,경기 롯데 - KIA 광주 프로야구 취소,1
ynat-v1_train_00006,프로야구 롯데 - KIA 광주 경기 취소,1
ynat-v1_train_00006_ev,롯데 자이언츠 KIA 타이거즈와의 광주 원정 경기 우천 취소,1
ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험 완파…3위 굳...,1
ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험에 완승… 3위 확정…,1
ynat-v1_train_00007,아가 메즈 33 득점 … 카드 KB 손해 보험 완파 우리 3 위 굳 . ..,1
ynat-v1_train_00007,아가 메즈 33 득점 우리 KB 손해 보험 완파 … 3 굳 . ..,1
