ID,text,target
ynat-v1_train_00002,"김정은, 자주통일 새롭게 나아가야",2
ynat-v1_train_00003,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩,5
ynat-v1_train_00004,미 대선 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,3
ynat-v1_train_00006,프로야구 롯데-KIA 광주 경기 취소,1
ynat-v1_train_00007,"아가메즈 33득점 폭발, 우리카드 KB손해보험 완파…3위 굳건히 지켜",1
ynat-v1_train_00008,朴대통령 얼마나 많이 놀라셨어요…경주 지진현장 방문종합,6
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설 솔솔…알뜰폰 기대감,4
ynat-v1_train_00011,NH투자 1월 옵션 만기일 매도 우세,5
ynat-v1_train_00012,황총리 각 부처 비상대비태세 철저히 강구해야,2
ynat-v1_train_00015,"KISA 박민정 책임연구원, APTLD 이사 선출",3
ynat-v1_train_00016,공사업체 협박에 분쟁해결 명목 돈 받은 언론인 집행유예,3
ynat-v1_train_00017,월세 전환에 늘어나는 주거비 부담…작년 역대 최고치,5
ynat-v1_train_00018,전 연정연 작가,0
ynat-v1_train_00019,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,2
ynat-v1_train_00020,"추신수, 시즌 타율 0.265로 마감…최지만 19홈런 기록",1
ynat-v1_train_00023,아시안게임 목소리 높인 박항서 베트남이 일본 못 이길...,6
ynat-v1_train_00024,서울에 다시 오존주의보…도심·서북·동북권 발령종합,1
ynat-v1_train_00030,해외로밍 m금폭탄 n동차단 더 빨$진다,4
ynat-v1_train_00031,"세계무역협회, 올해 무역인 1천550명 배출",3
ynat-v1_train_00033,석면 규정 지켜야,3
ynat-v1_train_00034,안보리 대북결의안 2270호 이행보고서 제출한 나라 70개 육박,6
ynat-v1_train_00035,게시판 KBS 코로나가 바꾼 일상 대국민 영상 공모,0
ynat-v1_train_00036,크루즈 관광객용 반나절 부산 해안 트레킹 상품 개발,3
ynat-v1_train_00038,마틴 우리카드 코치로 V리그 복귀…한국 좋아요,5
ynat-v1_train_00039,LG G8 씽큐 15일부터 예판…디스플레이 1회 무상교체 혜택,4
ynat-v1_train_00040,피폭 노동자가 증언하는 후쿠시마 원전 은폐와 속임수,6
ynat-v1_train_00041,"다저스, 버츠 감독 체제 하에 포수 최!",1
ynat-v1_train_00042,"창조경제, WEF 연차총회서 논의",2
ynat-v1_train_00043,한국민족의 뿌리가 북방…5천년 전 한반도서 자생적으로 형성,6
ynat-v1_train_00044,"산업 생산 증가, 제조업 가동률 상승",4
ynat-v1_train_00047,"김종인 라더스 사태, 충격 지속",2
ynat-v1_train_00051,근육조직 생성에 필수적인 열쇠 발견,0
ynat-v1_train_00053,코로나 시대 등교 모습,0
ynat-v1_train_00055,스마트폰'b실 막는 스l트 트%커,4
ynat-v1_train_00056,유엔 리비아 내전 악화·국제적 확산 우려…아랍연맹 긴급회의종합,2
ynat-v1_train_00057,"문 대통령, 김정은 회담 조속히 끝내고 합의 도출 목표",2
ynat-v1_train_00058,한미 치료제 개발 본격화,6
ynat-v1_train_00060,공룡 파충류보다는 타조·매 등 새에 가깝다,5
ynat-v1_train_00061,대한항공 우리카드 꺾고 3연승…GS칼텍스 1라운드 전승종합,1
ynat-v1_train_00063,영상 선출부터 퇴장까지…나경원 원내대표 파란만장 1년,0
ynat-v1_train_00066,"레알 vs 아틀레티코, 챔피언스리그 4강에서 마드리드 더비 성사",1
ynat-v1_train_00068,MBC 류현진 특집 다큐…MLB 전설에게 듣는 류현진,1
ynat-v1_train_00070,모바일 컴퓨팅 미래는…서울서 국제학회 ACM 모비시스 개막,4
ynat-v1_train_00071,영상 냄새가 나는데…퇴근길 마주친 수상한 차 따라가봤더니,0
ynat-v1_train_00072,獨 反이스라엘 테러 팔레스타인인 강연 차단…비자도 취소,6
