id,text,target
gemini-00000,"국내 게임 업계, 메타버스 시장 진출 본격화, 4",12
gemini-00001,"챗GPT 열풍 속, 국내 AI 개발 경쟁 심화, 4",12
gemini-00002,"전기차 시대 개막, 배터리 산업 성장 가속화, 4",12
gemini-00003,"코로나 팬데믹 이후, 비대면 서비스 성장세 지속, 4",12
gemini-00004,"미국 금리 인상 여파, 국내 증시 불안감 확산, 5",12
gemini-00005,"원/달러 환율 급등, 수출 기업 어려움 가중, 5",12
gemini-00006,"국제 유가 급등, 에너지 가격 상승 부담, 5",12
gemini-00007,"러시아-우크라이나 전쟁 장기화, 글로벌 경제 불안 심화, 5",12
gemini-00008,"북한 미사일 발사, 한반도 긴장 고조, 6",12
gemini-00009,"기후변화 심각성 악화, 극심한 이상 기후 현상 발생, 6",12
gemini-00010,"""카카오페이, 결제 시장 장악 노린다…'카카오뱅크'와 시너지 효과 기대"", 4",12
gemini-00011,"""서울 강남, 평균 집값 10억 돌파…'천정부지' 가격에 서민 울상"", 5",12
gemini-00012,"""LG전자, 차세대 OLED TV 공개…'압도적인 화질'로 시장 주도권 확보"", 4",12
gemini-00013,"""미국, 중국 제재 강화…'반도체 수출 규제' 본격화"", 6",12
gemini-00014,"""이재명, 대선 출마 선언…'경제 민주화' 공약으로 승부수"", 2",12
gemini-00015,"""정부, 부동산 투기 근절 대책 발표…'강력한 규제' 예고"", 5",12
gemini-00016,"""새 정부 출범, '경제 활성화' 최우선 과제…'일자리 창출'에 총력"", 2",12
gemini-00017,"국내 게임업계, NFT 열풍에 휩쓸리다… 신작 출시 러쉬, 4",12
gemini-00018,"인공지능, 의료 분야 혁신 이끌다… 정확한 진단과 개인 맞춤 치료 가능성 열려, 4",12
gemini-00019,"유럽연합, 러시아 에너지 의존 탈피… 재생에너지 투자 확대, 6",12
gemini-00020,"카카오, AI 기반 신규 서비스 '카카오톡 챗봇' 출시… 사용자 편의 증대, 4",12
gemini-00021,"넷플릭스, 한국 드라마 '오징어 게임' 시즌 2 제작 확정… 글로벌 인기 지속, 4",12
gemini-00022,"폭스바겐, 전기차 생산 확대… 독일 공장 2개 추가 건설, 5",12
gemini-00023,"중국, 반도체 자립화 박차… 대규모 투자로 기술 경쟁력 강화, 5",12
gemini-00024,"러시아, 우크라이나 침공 1년… 국제 사회 규탄 목소리 높아져, 6",12
gemini-00025,"'제2의 메타버스'로 떠오른 NFT… 게임·예술 분야 주목, 4",12
gemini-00026,"SK하이닉스, 메모리 반도체 시장 점유율 1위 탈환 노린다, 4",12
gemini-00027,"중국, 코로나19 봉쇄 완화…경제 회복 기대감 고조, 6",12
gemini-00028,"국민의힘, 당 대표 선거 본격화…후보 간 험악한 경쟁 예상, 2",12
gemini-00029,"미국, 우크라이나에 추가 군사 지원…러시아와 전쟁 장기화 우려, 6",12
gemini-00030,"서울시, 택시 합승 서비스 도입 검토…카풀 논란 재점화, 4",12
gemini-00031,"""AI가 쓴 시, 인간과 구분 가능할까?""…문학계, 생성형 AI 논쟁 뜨겁다, 4",12
gemini-00032,"삼성전자, 차세대 폴더블폰 출시 예고…'갤럭시 Z 플립3' 후속 모델 기대, 4",12
gemini-00033,"코스피, 외국인 매수세 지속…상승세 이어갈까, 5",12
gemini-00034,"일본, 후쿠시마 원전 오염수 방류 결정…국제 사회 반발 거세, 6",12
gemini-00035,"윤석열 정부, 부동산 정책 수정…규제 완화 기대감 높아져, 2",12
gemini-00036,"민주당, 내년 총선 승리 전략 마련…당내 경쟁 심화, 2",12
gemini-00037,"정치 개혁 논의 활발…선거 제도 개편, 국회 개혁 등 주요 과제, 2",12
gemini-00038,"여야, 예산안 협상 난항…증액 규모 놓고 대립, 2",12
gemini-00039,"국제유가 급등에 美 달러화 강세 지속,5",12
gemini-00040,"**SK하이닉스, 차세대 D램 기술 선점… 경쟁사와 격차 확대 예상, 4**",12
gemini-00041,"**인공지능 기술 발전, 일자리 감소 우려… 사회적 대비책 마련 시급, 4**",12
gemini-00042,"**최저임금 인상 논쟁… 경제계 vs 노동계 입장 팽팽, 2**",12
gemini-00043,"**미국 대선, 트럼프 vs 바이든… 막판까지 치열한 접전 예상, 6**",12
gemini-00044,"**기후변화 심각성 경고… 지구온난화로 인한 재난 증가, 4**",12
