ID,text,target
ynat-v1_train_00000_BT_jap,"KT, 2 개월 할인",5
ynat-v1_train_00001_BT_jap,"K-Chair, DLWO 20 억 송금",3
ynat-v1_train_00002_BT_jap,김정은 -새로 통일해야합니다.,2
ynat-v1_train_00003_BT_jap,"270,000 단위 갤럭시 노트 8 주 ... 시장은 불법 보조금입니다.",5
ynat-v1_train_00004_BT_jap,미국 대통령 선거 전에 러시아 해킹 모니터링 강화,6
ynat-v1_train_00005_BT_jap,6 명의 미국 성인 중 한 명이 배우자와 연인의 빚을지고 있습니다.,6
ynat-v1_train_00006_BT_jap,프로 야구 롯데 -기아 왕 장주 강기의 캔셀 화,1
ynat-v1_train_00007_BT_jap,"33 AGAMEZ, WOORI 카드 KB 보험 WANPA 목표 ... 3 위 확고",1
ynat-v1_train_00008_BT_jap,대통령은 얼마였습니까?Gyongju 포괄적 인 지진 방문,6
ynat-v1_train_00009_BT_jap,듀얼 Simsim iPhone Salsol ... 기대,4
ynat-v1_train_00010_BT_jap,"모하브는 사고, 주가 급등을 훈련시킵니다",5
ynat-v1_train_00011_BT_jap,NH 투자 1 월 옵션 판매,5
ynat-v1_train_00012_BT_jap,팬은 철저하고 철저하게 제공되어야합니다.,2
ynat-v1_train_00014_BT_jap,규칙 b c -p -liva 2 -don -don g 7 마을 -inn -inn,2
ynat-v1_train_00015_BT_jap,"Kisa Park Min -Jung, 선임 연구원, APTLD 이사",3
ynat-v1_train_00016_BT_jap,건설 회사의 협박과 충돌하여 돈을받은 언론인의 정확성,3
ynat-v1_train_00017_BT_jap,월 임대료 이체의 주택 비용 증가 ... 작년 최고,5
ynat-v1_train_00018_BT_jap,전 젊은 존 영 작가,0
ynat-v1_train_00019_BT_jap,Facebook Internet Drone Aquola의 첫 번째 시험 비행 성공,4
ynat-v1_train_00020_BT_jap,"Choo Shin -Soo는 평균 0.265 타율로 끝납니다 ... Choi, 그러나 19 개의 홈런",1
ynat-v1_train_00021_BT_jap,"기아, 팬들에게 감사합니다",1
ynat-v1_train_00022_BT_jap,여기 6 명의 임원,3
ynat-v1_train_00023_BT_jap,"파크 행 -베트남, 베트남 ...",6
ynat-v1_train_00024_BT_jap,"서울 오존 고문 ... 종합 도심, 북서부 및 북동부",0
ynat-v1_train_00025_BT_jap,선 너비 및 사이트 조사,3
ynat-v1_train_00026_BT_jap,"STJ LEMON, 2 분기에 4,55 억 피해자 ... 21 % 증가",5
ynat-v1_train_00027_BT_jap,생체 인증이 도입되면 대기가 끝났습니다.,4
