ID,text,target
ynat-v1_train_00002,"김정은, 자주통일 새 시대 열어야 한다",2
ynat-v1_train_00004,미 대선 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00006,프로야구 롯데-KIA 광주 경기 취소,1
ynat-v1_train_00007,"아가메즈 33점 폭발, 우리카드 KB손해보험 완파…3위 굳히기",4
ynat-v1_train_00015," KISA 박민정 책임연구원, APTLD 이사 선출",0
ynat-v1_train_00018,전 연정연 작가,0
ynat-v1_train_00020,"추신수, 타율 0.265로 시즌 마감…최지만 19홈런 기록",1
ynat-v1_train_00031,"세계 무역협회, 올해 무역인 1천550명 배출",3
ynat-v1_train_00033," 석면 규정, 엄격히 지켜야",3
ynat-v1_train_00039,"LG G8 씽큐, 15일부터 예판 시작…디스플레이 무상 교체 혜택",2
ynat-v1_train_00041,"다저스, 버츠 감독 체제 하에 포수 최!",1
ynat-v1_train_00042,"창조경제, 장관 간담회 개최",2
ynat-v1_train_00044," 산업 생산 증가, 제조업 가동률 상승",5
ynat-v1_train_00047,"김종일 라더스 사태, 충격 지속",2
ynat-v1_train_00053, 코로나 시대 등교 모습,3
ynat-v1_train_00057," 문 대통령, 김정은과 회담 조속히 마무리",2
ynat-v1_train_00058, 한미 치료제 본격화,6
ynat-v1_train_00066," UEFA 챔피언스리그 4강, 레알 마드리드 더비 성사",0
ynat-v1_train_00068," 류현진, MLB 전설에게 듣다: MBC 특집 다큐",0
ynat-v1_train_00074,"월드컵 사령탑 S 감독, 한국전 승리 자신감",1
ynat-v1_train_00076," 북한, 민주주의 전선 결성 보고회 개최",2
ynat-v1_train_00078," 대구·경북 고용유지지원금 신청 폭주: 2~3월 7,550건",5
ynat-v1_train_00079,"애스턴마틴, 국내 한정판 500대 생산",0
ynat-v1_train_00097," 3D 모델, 종이로도 증강현실 경험 가능",4
ynat-v1_train_00105,"한국관광공사, 업무 협약 체결",3
ynat-v1_train_00107," 프랑스, G7 정상회의 개최",6
ynat-v1_train_00108, 지역 도시 난개발 방지 개정안 발의,3
ynat-v1_train_00109,  원전대면점 2p 인도 무산,5
ynat-v1_train_00115," 최병륜, 울산MBC 사장 선임",4
ynat-v1_train_00116,"현대캐피탈, 전광인 없이도 한국전력 꺾고 FTV컵 우승",1
ynat-v1_train_00121,"손경원, J 회장과의 협력 방안 논의",5
ynat-v1_train_00122," 대통령, 지역 경제 활성화 주역: 고용 창출 종합 계획 발표",2
ynat-v1_train_00124," 박광E, 발언",2
ynat-v1_train_00125,"2자 배구, 팀 코칭진 구성 완료… 트레이너에 정기혁",1
ynat-v1_train_00126,오후부터 흐리고 곳곳에 비,0
ynat-v1_train_00131,"학교 급식, 칸막이 설치 논란",3
ynat-v1_train_00132,멀리 개 짖는 소리 들려,0
ynat-v1_train_00134,"코오롱플라스틱, 1분기 영업익 138%↑ 58억원 기록",6
ynat-v1_train_00136,예비후보 사전 여론조사 결과 유출 논란,2
ynat-v1_train_00138," 삼성 빅스비, 서울 개발자 콘퍼런스 개최",4
ynat-v1_train_00142," 朴 대통령, TK 의원들과 사드 민심 청취",0
ynat-v1_train_00161," S9XOC카cO트6온라인 F개강좌 공동 개설  ->  **온라인 F개강좌, 공동 개설**",3
ynat-v1_train_00172,미네소타주 람장 입구서 2명 부상,6
ynat-v1_train_00177," 명언 옮기는 즐거움, 필사 3문장",0
ynat-v1_train_00184,"SK, 윌리엄스 교체 선수 영입",1
ynat-v1_train_00187,"반기문, 이창 부부 초대 만찬…2년 전 약속 지켜",6
ynat-v1_train_00191,"다저스, 3년 연속 월드시리즈 우승 후보지만…",4
ynat-v1_train_00197,"남정네, 리허설 삼매경… 생명 걸고 준비",2
ynat-v1_train_00198," SBS '그것이 알고 싶다', '버닝썬 게이트' 다뤄 시청률 11.2% 기록",6
ynat-v1_train_00199,"현대차증권, 현대차 주식 300억원 매수",2
ynat-v1_train_00203, 주식 시장 성장 둔화…목표가 하락,5
ynat-v1_train_00225,점프 후 온몸에 경련,1
ynat-v1_train_00226,"  두산, 20승 달성하며 선두 질주… SK, LG 추격",2
ynat-v1_train_00241," V3 모바일 보안, 5만 건의 악성코드 차단",4
ynat-v1_train_00243,"자베스, 정치권에 타협 촉구",6
ynat-v1_train_00248,"이승우, 네덜란드 팀 임대 이적",1
ynat-v1_train_00249,"朴대통령, 러방지법 추진",2
ynat-v1_train_00250," 민주당, 북미정상회담에 힘 실어",2
ynat-v1_train_00257," 언론인, 장애인 비하 발언에 시인 비판",3
ynat-v1_train_00266," 인류무형문화유산, 주권 회복 위한 노력 펼쳐",0
ynat-v1_train_00274," 한국 물가 상승, 미세먼지 악화… 세계 경쟁력 발목 잡아",3
ynat-v1_train_00277,"NHN엔터, 2분기 영업익 50% 증가",3
ynat-v1_train_00284,"연천, 영하 9.1도…경북 오후부터 기온 오른다",0
ynat-v1_train_00290,제주 여행 취향 저격: 계곡 축제,0
ynat-v1_train_00297, 동당대회 개최 시 만약의 상황 대비,2
ynat-v1_train_00299,"사우디 왕과 조 바이든 대통령, 지속적인 협의 합의",6
ynat-v1_train_00303," 아랍권 정상회의, 이란 참석",6
ynat-v1_train_00317,"탈북 도운 한국계 영국인, 국가공훈장 수여",6
ynat-v1_train_00320," 30년 연기 인생, 배우 W, 지금도 열정 넘쳐요",0
ynat-v1_train_00329," 김정은, 과학자 거리 건설 지시",2
ynat-v1_train_00330,"KT, 'Be Y 폰 2' 단독 출시",3
ynat-v1_train_00335,"전광인, 우승 꿈꾸며 코트에 선다",1
ynat-v1_train_00338,"강원CBS, 새 사옥 및 선교센터 착공",1
ynat-v1_train_00339," 용등급 낮은 소상공인, 대출 어려움 겪어",5
ynat-v1_train_00346," 긴급재난지원금 기부금 2,782억원, 지급액의 2% 달해",2
ynat-v1_train_00351," 친노 지역구, 특별전면전 선포",2
ynat-v1_train_00367," AI, 나무를 닮아가다?",4
ynat-v1_train_00370, 주택 브랜드 '공작소' 론칭,3
ynat-v1_train_00385," K4O, 내년 1월 서울대에서 강습회 개최",1
ynat-v1_train_00389," 법정, 5목 선언! 현상 유지, 큰 손실",5
ynat-v1_train_00391," 양자암호키 개발, 통신망 장애에도 안전",4
ynat-v1_train_00392," 에어트리아, 시범 행사 개최",6
ynat-v1_train_00398, 영문 운전면허증 발급,3
ynat-v1_train_00411," b2건설 감독, '활용' 고민",1
ynat-v1_train_00416,"SKD,  C산 중심타선 넘지 못하고 4실점",1
ynat-v1_train_00418,촛불의 눈으로 세상을 보다,0
ynat-v1_train_00421,"문대통령, 독립운동 역사 공유",2
ynat-v1_train_00423," 안경 착용, 경찰 공채 신체 기준 논란",3
ynat-v1_train_00429," 서울, 낮 기온 19도 따뜻…중부 밤늦게 비",0
ynat-v1_train_00430,"총선 5개월 앞, 선거구 4정 안개 속",2
ynat-v1_train_00432,사진 속 도시의 별,0
