id,text,target
gemini-00000,"**카카오톡, 새로운 AI 챗봇 '챗GPT' 도입… 사용자 경험 향상 기대**",4
gemini-00001,"**SK텔레콤, 5G 기반 증강현실 게임 'AR: 서울' 출시… 도시 전체를 게임 공간으로 변신**",4
gemini-00002,"**현대자동차, 전기차 생산량 2배 확대… 글로벌 시장 공략 본격화**",4
gemini-00003,**코로나19 백신 접종률 90% 돌파… 일상 회복 기대감 고조**,4
gemini-00004,"**쿠팡, 로켓배송 서비스 확대… 새벽배송 지역 전국으로 확장**",4
gemini-00005,**국내 최초 달 탐사선 '우리별호' 발사 성공… 우주 개발 역사 새 장을 열다**,4
gemini-00006,**인공지능 기반 암 진단 시스템 개발… 조기 진단율 향상 기대**,4
gemini-00007,"**""미래는 핀테크다"" … 토스, 새로운 금융 서비스 '토스뱅크' 출시**",4
gemini-00008,"**한국 스타트업, 글로벌 투자 유치 봇물… 세계 시장 진출 가속화**",4
gemini-00009,"**""인공지능, 인간을 넘어설까?"" … AI 윤리 논쟁 뜨겁게 달아오르다**",4
gemini-00010,"카카오페이, 핀테크 시장 점령 위한 '카카오뱅크' 출시",4
gemini-00011,"현대자동차, '수소 전기차' 양산 시대 개막",4
gemini-00012,"SK텔레콤, '5G' 시대 선도 위한 'AR/VR' 플랫폼 공개",4
gemini-00013,"국내 연구진, '차세대 배터리' 개발 성공… 전기차 시장 판도 변화 예고",4
gemini-00014,"네이버, '인공지능' 기반 '맞춤형 뉴스' 서비스 도입",4
gemini-00015,"코로나19 팬데믹 이후, '온라인 교육' 시장 급성장",4
gemini-00016,"'NFT' 열풍… 게임, 예술 분야에서 새로운 수익 모델 등장",4
gemini-00017,"'메타버스' 시대 도래… 가상현실, 현실과 경계 허물다",4
gemini-00018,"'우주여행' 시대 개막… 민간 기업, 우주 관광 상품 출시",4
gemini-00019,"**""카카오톡, 챗봇 기능 강화… 맞춤형 서비스 제공""**",4
gemini-00020,"**카카오페이, 신용대출 서비스 출시… 금융 시장 경쟁 심화**",4
gemini-00021,"**쿠팡, '로켓배송' 드론 활용 시범 운영… 배송 속도 혁신 예고**",4
gemini-00022,"**서울시, 스마트 도시 구축 본격화… 빅데이터 활용 도시 관리 시스템 도입**",4
gemini-00023,"**LG전자, 롤러블 스마트폰 'LG 롤렉스' 공개… 차세대 스마트폰 시장 선점**",4
gemini-00024,"**인텔, 차세대 CPU '메테오' 발표… 성능과 효율성 모두 잡았다**",4
gemini-00025,"**대한항공, 친환경 항공기 도입… 탄소 중립 목표 실현 박차**",4
gemini-00026,"현대자동차, 차세대 전기차 모델 '아이오닉 7' 공개 예정",4
gemini-00027,"엔씨소프트, 신작 모바일 게임 '리니지W' 글로벌 출시… 흥행 기대",4
gemini-00028,"롯데백화점, '온라인 쇼핑몰' 강화… 오프라인과 시너지 효과 노려",4
gemini-00029,"**카카오뱅크, 해외송금 서비스 개시…수수료 경쟁 본격화**",4
gemini-00030,"**SKT, 5G 기반 스마트팩토리 구축 사업 본격화**",4
gemini-00031,"**KT, AI 기반 스마트홈 서비스 'KT 홈케어' 출시… 편의성 강화**",4
gemini-00032,"**LG전자, 차세대 OLED TV 출시… 혁신적인 화질과 디자인 선보여**",4
gemini-00033,"국제우주정거장, 한국 우주인 '김민준' 탑승... 6개월간 임무 수행",4
gemini-00034,"현대자동차, 자율주행차량 대규모 실증 시험 돌입",4
gemini-00035,"코로나19 백신 개발, 국내 연구진의 쾌거… 임상시험 돌입",4
gemini-00036,"서울시, 도시형 항공 모빌리티(UAM) 도입 계획 발표… 2025년 상용화 목표",4
gemini-00037,"페이스북, 가상현실(VR) 플랫폼 확장… 메타버스 시대 선점 노력",4
gemini-00038,"**인공지능 기반 자율주행 택시, 서울 시내 운행 시작… ""혁신의 물결, 현실로""**",4
gemini-00039,"**전기차 배터리 시장, LG 에너지솔루션 독주… SK이노베이션과 중국 CATL 추격**",4
gemini-00040,"카카오, 신규 모바일 게임 '프로젝트 X' 하반기 출시 예정",4
gemini-00041,"롯데, 온라인 쇼핑몰 '롯데닷컴' 리뉴얼 오픈… 경쟁 심화",4
gemini-00042,"네이버, '웨일 브라우저' 업데이트… 사용자 편의성 강화",4
gemini-00043,"KT, '기가 인터넷' 속도 향상… 초고속 통신 시대 열어",4
gemini-00044,"대한항공, '스카이팀' 가입… 글로벌 항공 네트워크 확대",4
gemini-00045,"현대자동차, 자율주행 로봇택시 시범 운행 돌입… 도시 교통 지형 변화 예고",4
gemini-00046,"**카카오페이, 서울 시내버스에 QR 결제 도입… ""편리한 승차 경험 제공""**",4
gemini-00047,"**롯데백화점, '메타버스 쇼핑' 시대 연다… 가상 공간에서 옷 입어보고 구매 가능**",4
gemini-00048,"**SK텔레콤, 5G 기반 '스마트 팩토리' 구축… 제조업 생산성 혁신 기대**",4
gemini-00049,"**LG전자, 차세대 폴더블폰 출시 예정… 삼성 갤럭시 Z 시리즈와 경쟁 예고**",4
gemini-00050,"**국내 최초 우주여행, 2025년 실현… 대한항공, 민간 우주여행 사업 본격화**",4
gemini-00051,"**아마존, 드론 배송 서비스 확대… 미국 10개 도시에서 시범 운영 시작**",4
gemini-00052,"**현대자동차, 자율주행 기술 개발 박차… 2025년 레벨 4 자율주행 시스템 적용 예정**",4
gemini-00053,"**쿠팡, 배달 로봇 도입 본격화… ""서울 강남 지역에서 시범 운영 시작""**",4
gemini-00054,"**""가짜 뉴스 잡아라!"" 네이버, AI 기반 뉴스 검증 시스템 도입… ""신뢰성 높은 정보 제공"" 목표**",4
gemini-00055,"**""인공지능, 예술 영역에도 진출"" 딥러닝으로 작곡한 클래식 음악 공개… ""음악계 새로운 지평 열릴까?""**",4
gemini-00056,"**""미래는 데이터가 지배한다"" 국내 최대 데이터센터 '데이터허브' 개장… ""4차 산업혁명 시대, 데이터 경쟁력 강화""**",4
gemini-00057,"롯데, '스마트팩토리' 구축… 생산 효율 극대화",4
gemini-00058,"KT, '스마트홈' 시장 공략… IoT 기기 확대",4
