ID,text,target
ynat-v1_train_00000,"KT, 2 개월 할인",5
ynat-v1_train_00001,"K-Chair, DLWO 20 억 송금",3
ynat-v1_train_00002,김정은 -새로 통일해야합니다.,2
ynat-v1_train_00003,"270,000 단위 갤럭시 노트 8 주 ... 시장은 불법 보조금입니다.",5
ynat-v1_train_00004,미국 대통령 선거 전에 러시아 해킹 모니터링 강화,6
ynat-v1_train_00005,6 명의 미국 성인 중 한 명이 배우자와 연인의 빚을지고 있습니다.,6
ynat-v1_train_00006,프로 야구 롯데 -기아 왕 장주 강기의 캔셀 화,1
ynat-v1_train_00007,"33 AGAMEZ, WOORI 카드 KB 보험 WANPA 목표 ... 3 위 확고",1
ynat-v1_train_00008,대통령은 얼마였습니까?Gyongju 포괄적 인 지진 방문,6
ynat-v1_train_00009,듀얼 Simsim iPhone Salsol ... 기대,4
ynat-v1_train_00010,"모하브는 사고, 주가 급등을 훈련시킵니다",5
ynat-v1_train_00011,NH 투자 1 월 옵션 판매,5
ynat-v1_train_00012,팬은 철저하고 철저하게 제공되어야합니다.,2
ynat-v1_train_00014,규칙 b c -p -liva 2 -don -don g 7 마을 -inn -inn,2
ynat-v1_train_00015,"Kisa Park Min -Jung, 선임 연구원, APTLD 이사",3
ynat-v1_train_00016,건설 회사의 협박과 충돌하여 돈을받은 언론인의 정확성,3
ynat-v1_train_00017,월 임대료 이체의 주택 비용 증가 ... 작년 최고,5
ynat-v1_train_00018,전 젊은 존 영 작가,0
ynat-v1_train_00019,Facebook Internet Drone Aquola의 첫 번째 시험 비행 성공,4
ynat-v1_train_00020,"Choo Shin -Soo는 평균 0.265 타율로 끝납니다 ... Choi, 그러나 19 개의 홈런",1
ynat-v1_train_00021,"기아, 팬들에게 감사합니다",1
ynat-v1_train_00022,여기 6 명의 임원,3
ynat-v1_train_00023,"파크 행 -베트남, 베트남 ...",6
ynat-v1_train_00024,"서울 오존 고문 ... 종합 도심, 북서부 및 북동부",0
ynat-v1_train_00025,선 너비 및 사이트 조사,3
ynat-v1_train_00026,"STJ LEMON, 2 분기에 4,55 억 피해자 ... 21 % 증가",5
ynat-v1_train_00027,생체 인증이 도입되면 대기가 끝났습니다.,4
ynat-v1_train_00028,감독 2 축구 연맹,1
ynat-v1_train_00029,"인천, 35 ° C.",1
ynat-v1_train_00030,해외 로밍 m geum 폭탄 n,4
ynat-v1_train_00031,"세계 무역 협회, 1,550 명, 올해 무역,",3
ynat-v1_train_00032,파크 행은 베트남 축구 팀을 이끌었습니다,1
ynat-v1_train_00033,석면 규정을 따라야합니다,0
ynat-v1_train_00034,2270의 이행 보고서에 제출 된 안전 보장 이사회 결의 번호 비밀,6
ynat-v1_train_00035,Bulletin Board KBS Cologao Deilinatures 비디오 콘테스트,0
ynat-v1_train_00036,크루즈 관광객을위한 부산 해안 트레킹 제품 개발,5
ynat-v1_train_00037,"인공 광학 생산, 기존 방법보다 효율적입니다",4
ynat-v1_train_00038,Martin Uri의 카드 코치와 함께 V- 리그로 돌아 가기 ... 한국인 좋아요,1
ynat-v1_train_00039,LG G8 THINQ 151 무료 교환 혜택이 표시됩니다,4
ynat-v1_train_00040,후쿠시마의 핵무기의 은폐와 속임수는 노출 된 노동자들에 의해 증언되었습니다.,6
ynat-v1_train_00041,"Dodgers, Burtz 감독 시스템의 포수 Che!",1
ynat-v1_train_00042,창의 경제는 WEF의 연례 회의에 대해 논의합니다,2
ynat-v1_train_00043,"한국의 뿌리는 북쪽 ... 5,000 년 전입니다",6
