ID,text,target
ynat-v1_train_00071,영상 냄새가 나는데…퇴근길 마주친 수상한 차 따라가봤더니,2
ynat-v1_train_00080,태블릿PC 조작설 변희재 1심 징역2년…악의적 공격 반복종합,5
ynat-v1_train_00111,세아트 드라이빙 시뮬레이터,5
ynat-v1_train_00171,美이란 상대 국적자 체포 갈등…구금 중 학대 서로 비방,5
ynat-v1_train_00240,벼락같은 중거리포로 러시아 가는 길 열어젖힌 이창민종합,3
ynat-v1_train_00252,트럼프 드론 격추에 對이란 보복공격 승인했다 돌연 철회종합2보,5
ynat-v1_train_00275,그래픽 내년 코스피 전망치,5
ynat-v1_train_00371,고침 체육신인 1순위 펄츠 복귀…필라델피아,0
ynat-v1_train_00530,아시안게임 여자축구 인도네시아 상대로 손화연·이현영 ...,1
ynat-v1_train_00575,靑 참모교체 → 책임총리 내각 단계적 쇄신론도 대두,2
ynat-v1_train_00576,바흐 모테트 전곡 연주·박유신김현정 듀오 공연,4
ynat-v1_train_00841,31년만의 취재 관련 언론사 압수수색…어수선한 채널A종합,1
ynat-v1_train_00890,갯벌도 얼려버린^한파,0
ynat-v1_train_00971,한진그룹 세대교체 인사…조현아는 인사 명단서 빠져종합2보,6
ynat-v1_train_00986,평양정상회담 남북은 하나,6
ynat-v1_train_01077,北 남조선 사드 배치하면 주변국의 1차적 타격 대상될 것,1
ynat-v1_train_01180,행안위 18일 김창보 중앙선관위원 후보자 인사청문회 개최,3
ynat-v1_train_01200,게시판 관광공사 대학생 안전여행 슬로건 공모전 개최,0
ynat-v1_train_01208,김동연 최저임금 인간다운 삶 위한 것…장관들 한 목소리종합2보,1
ynat-v1_train_01270,黃 제1야당 대표로 첫 삭발 감행…조국 반대 대여투쟁 승부수종합2보,5
ynat-v1_train_01440,에르도안 美 러시아제 S400 미사일 구매말라 강하게 압박,0
ynat-v1_train_01471,추미애 朴정부 비리조차도 창조적…불공정 한국 끝 보는 듯,0
ynat-v1_train_01538,황금색 변기에 앉아 트윗하는 4.9ｍ 트럼프 로봇 등장,4
ynat-v1_train_01561,신간 삶이라는 동물원·지방도시 살생부,5
ynat-v1_train_01680,이통 판매점들 완전자급제법 졸속 추진 유감…부작용 커,4
ynat-v1_train_01768,아시안게임 경기장 잔디 점검한 김학범 중동팀에 유리한...,4
ynat-v1_train_01847,게시판 미래부 빅데이터 RD 심포지엄,2
ynat-v1_train_01951,코스피 상승 출발 후 외국인 매도에 하락…2360선 내줘종합,1
ynat-v1_train_01994,미세먼지 싫어N,0
ynat-v1_train_02069,항생제 생산 유전자 단백질 될 때 버퍼링 걸린다,5
ynat-v1_train_02217,게시판 HF 대학생봉사단 맞춤형 사회공헌 활동,1
ynat-v1_train_02422,자사주 매입 자신감 드러낸 조준호…G6 성공할까종합,3
ynat-v1_train_02457,게시판 삼성카드·준오뷰티 업무제휴,2
ynat-v1_train_02487,사지 않고 구경만 한다고 판매직원이 욕설을…외국인 관광객종합,1
ynat-v1_train_02500,中企제품 구매 우수 인천·춘천시·한수원 대통령표창,5
ynat-v1_train_02559,불쾌한 靑 왜 전대개입으로 몰아 대통령 때리나,6
ynat-v1_train_02569,박영선 당 잔류 공식표명 새경제 정통야당 지켜봐달라종합,6
ynat-v1_train_02640,류현진 32이닝서 연속 이닝 무실점 마감…박찬호 넘기 실...,6
ynat-v1_train_02690,패스트트랙 수사 검찰 국회 운영위 등 압색,3
ynat-v1_train_02701,이란 석유장관 美 셰일오일 수출하려 이란 제재,6
ynat-v1_train_02795,트럼프 폭스뉴스 앵커들 충성도 점수매겨…10점만점에 12점도,6
ynat-v1_train_00858,한국MS 윈도10 IoT 에디션 출시…B2B 공략,5,natural
ynat-v1_train_00982,회전 카메라 탑재한 갤럭시A80 SKT 단독출시…59만9천500원,4,natural
ynat-v1_train_01080,여자농구 KB국민은행 20182019 시즌권 11일부터 판매,4,natural
ynat-v1_train_01187,HDC 부동산114 자회사로 편입,6,natural
ynat-v1_train_01225,세계 첫 5G폰 갤럭시S10 5G 출고가 139만7천원 확정종합,5,natural
ynat-v1_train_01362,KT 멀티캠퍼스와 기가지니 SERICEO 서비스 론칭,1,natural
ynat-v1_train_01776,LGU 5G SA 상용화 준비…SA 기술 NSA 코어 장비에 연동 검증,5,natural
ynat-v1_train_01927,메리츠종금 내년 코스피 1900∼2400 등락,1,natural
ynat-v1_train_02111,SKT 세계 최초 5G 가입자 100만 명 돌파,5,natural
ynat-v1_train_02370,세계 첫 AI 축구 월드컵 KAIST서 개막…12개국 29팀 참가,2,natural
ynat-v1_train_00573,LG전자 실속형 스마트폰 2018년형 K 시리즈 공개,1,natural
ynat-v1_train_00577,그래픽 작년 주식 1인당 보유종목수 4.27개,3,natural
ynat-v1_train_00927,게시판 LG유플러스 2018년 지속가능경영 보고서 발간,5,natural
ynat-v1_train_01751,제조업·ICT 산업분야 AI융합에 초점 맞춘 차별화 전략필요,1,natural
ynat-v1_train_01911,U19 축구대표팀 툴롱컵 1차전에서 프랑스에 14 완패,1,natural
ynat-v1_train_02067,직통령 펭수 UAR로 만난다…3D 영상·입체 스티커 나와,3,natural
ynat-v1_train_02175,게시판 SKT 독거노인 케어 서비스 GSMA 우수사례 선정,4,natural
ynat-v1_train_02300,게시판 KIST 의학도 대상 리서치 캠프,5,natural
